near_dear: Topic: 0, Keyword number: 0
pacing_handled: Topic: 255, Keyword number: 10
opportunities_terms: Topic: 255, Keyword number: 11
impact_learning: Topic: 255, Keyword number: 12
view_root: Topic: 255, Keyword number: 13
creator_truman's: Topic: 255, Keyword number: 14
real_everything: Topic: 255, Keyword number: 15
hoax_expense: Topic: 255, Keyword number: 16
saw_lounge: Topic: 255, Keyword number: 17
building_saw: Topic: 255, Keyword number: 18
worse_next: Topic: 255, Keyword number: 19
security_guards: Topic: 255, Keyword number: 20
elevator_place: Topic: 255, Keyword number: 21
door_made: Topic: 255, Keyword number: 22
people_coffee: Topic: 255, Keyword number: 23
voice_exactly: Topic: 255, Keyword number: 24
rounders: Topic: 256, Keyword number: 0
cards: Topic: 256, Keyword number: 1
mike's: Topic: 256, Keyword number: 2
mike_worm: Topic: 256, Keyword number: 3
teddy_kgb: Topic: 256, Keyword number: 4
law_student: Topic: 256, Keyword number: 5
gretchen_mol: Topic: 256, Keyword number: 6
mol: Topic: 256, Keyword number: 7
gretchen: Topic: 256, Keyword number: 8
professional: Topic: 256, Keyword number: 9
underground: Topic: 256, Keyword number: 10
norton: Topic: 256, Keyword number: 11
mike_mcdermott: Topic: 256, Keyword number: 12
law_school: Topic: 256, Keyword number: 13
mcdermott: Topic: 256, Keyword number: 14
matt: Topic: 256, Keyword number: 15
martin_landau: Topic: 256, Keyword number: 16
atlantic_city: Topic: 256, Keyword number: 17
way_law: Topic: 256, Keyword number: 18
high-stakes: Topic: 256, Keyword number: 19
cigar: Topic: 256, Keyword number: 20
mike: Topic: 256, Keyword number: 21
past_present: Topic: 256, Keyword number: 22
film_able: Topic: 256, Keyword number: 23
martin: Topic: 256, Keyword number: 24
film: Topic: 257, Keyword number: 0
movie: Topic: 257, Keyword number: 1
grace: Topic: 257, Keyword number: 2
disaster: Topic: 257, Keyword number: 3
great: Topic: 257, Keyword number: 4
jeff: Topic: 257, Keyword number: 5
tunnel: Topic: 257, Keyword number: 6
tell: Topic: 257, Keyword number: 7
guy: Topic: 257, Keyword number: 8
put: Topic: 257, Keyword number: 9
well: Topic: 257, Keyword number: 10
simply: Topic: 257, Keyword number: 11
comedies: Topic: 257, Keyword number: 12
bit: Topic: 257, Keyword number: 13
nice: Topic: 257, Keyword number: 14
violence: Topic: 257, Keyword number: 15
feature_film: Topic: 257, Keyword number: 16
ask: Topic: 257, Keyword number: 17
family: Topic: 257, Keyword number: 18
fun: Topic: 257, Keyword number: 19
probably: Topic: 257, Keyword number: 20
fact: Topic: 257, Keyword number: 21
one: Topic: 257, Keyword number: 22
might: Topic: 257, Keyword number: 23
say: Topic: 257, Keyword number: 24
grodin: Topic: 258, Keyword number: 0
charles: Topic: 258, Keyword number: 1
charles_grodin: Topic: 258, Keyword number: 2
eachother: Topic: 258, Keyword number: 3
makes_peter's: Topic: 258, Keyword number: 4
whiny: Topic: 258, Keyword number: 5
loves: Topic: 258, Keyword number: 6
type: Topic: 258, Keyword number: 7
kind: Topic: 258, Keyword number: 8
looks_like: Topic: 258, Keyword number: 9
may_admire: Topic: 258, Keyword number: 10
help_influence: Topic: 258, Keyword number: 11
lewis_hired: Topic: 258, Keyword number: 12
rarer: Topic: 258, Keyword number: 13
actually_qualifies: Topic: 258, Keyword number: 14
behold_credit: Topic: 258, Keyword number: 15
real_still: Topic: 258, Keyword number: 16
meteors_bursting: Topic: 258, Keyword number: 17
cohesive_even: Topic: 258, Keyword number: 18
happy_situation: Topic: 258, Keyword number: 19
tyler_harry's: Topic: 258, Keyword number: 20
warhead_within: Topic: 258, Keyword number: 21
days_start: Topic: 258, Keyword number: 22
sort_future: Topic: 258, Keyword number: 23
performance_looks: Topic: 258, Keyword number: 24
movie: Topic: 259, Keyword number: 0
little: Topic: 259, Keyword number: 1
disney: Topic: 259, Keyword number: 2
mulan: Topic: 259, Keyword number: 3
voice: Topic: 259, Keyword number: 4
feature: Topic: 259, Keyword number: 5
fun: Topic: 259, Keyword number: 6
though: Topic: 259, Keyword number: 7
song: Topic: 259, Keyword number: 8
animated: Topic: 259, Keyword number: 9
action: Topic: 259, Keyword number: 10
even: Topic: 259, Keyword number: 11
songs: Topic: 259, Keyword number: 12
sure: Topic: 259, Keyword number: 13
features: Topic: 259, Keyword number: 14
time: Topic: 259, Keyword number: 15
pretty: Topic: 259, Keyword number: 16
family: Topic: 259, Keyword number: 17
funny: Topic: 259, Keyword number: 18
singing: Topic: 259, Keyword number: 19
parents: Topic: 259, Keyword number: 20
could: Topic: 259, Keyword number: 21
well: Topic: 259, Keyword number: 22
kids: Topic: 259, Keyword number: 23
special: Topic: 259, Keyword number: 24
groundhog: Topic: 260, Keyword number: 0
galaxy_quest: Topic: 260, Keyword number: 1
also_room: Topic: 260, Keyword number: 2
audiences_enjoyment: Topic: 260, Keyword number: 3
bad_criticisms: Topic: 260, Keyword number: 4
music_pretty: Topic: 260, Keyword number: 5
score_music: Topic: 260, Keyword number: 6
get_irritated: Topic: 260, Keyword number: 7
bit_soppy: Topic: 260, Keyword number: 8
day_almost: Topic: 260, Keyword number: 9
gets_funny: Topic: 260, Keyword number: 10
groundhog_gets: Topic: 260, Keyword number: 11
one_dud: Topic: 260, Keyword number: 12
neurologist_fact: Topic: 260, Keyword number: 13
popping_neurologist: Topic: 260, Keyword number: 14
school_mate: Topic: 260, Keyword number: 15
tobolowsky: Topic: 260, Keyword number: 16
cast_aren't: Topic: 260, Keyword number: 17
film_lower: Topic: 260, Keyword number: 18
part_chris: Topic: 260, Keyword number: 19
otherwise_whole: Topic: 260, Keyword number: 20
thankfully_otherwise: Topic: 260, Keyword number: 21
leads_thankfully: Topic: 260, Keyword number: 22
macdowell_good: Topic: 260, Keyword number: 23
cynical_happy: Topic: 260, Keyword number: 24
tales: Topic: 261, Keyword number: 0
fairy: Topic: 261, Keyword number: 1
writer: Topic: 261, Keyword number: 2
hannah: Topic: 261, Keyword number: 3
hand: Topic: 261, Keyword number: 4
mrs_paradine: Topic: 261, Keyword number: 5
marcy: Topic: 261, Keyword number: 6
fairy_tale: Topic: 261, Keyword number: 7
jealous: Topic: 261, Keyword number: 8
writers: Topic: 261, Keyword number: 9
grisham: Topic: 261, Keyword number: 10
nomination_best: Topic: 261, Keyword number: 11
barrister: Topic: 261, Keyword number: 12
paradine_case: Topic: 261, Keyword number: 13
right_around: Topic: 261, Keyword number: 14
sex_knowledge: Topic: 261, Keyword number: 15
leave_path: Topic: 261, Keyword number: 16
angela_lansbury: Topic: 261, Keyword number: 17
sarah_patterson: Topic: 261, Keyword number: 18
patterson: Topic: 261, Keyword number: 19
hitchcock_film: Topic: 261, Keyword number: 20
questionable_source: Topic: 261, Keyword number: 21
talking_animals: Topic: 261, Keyword number: 22
permeated: Topic: 261, Keyword number: 23
storyteller: Topic: 261, Keyword number: 24
agents: Topic: 262, Keyword number: 0
friends: Topic: 262, Keyword number: 1
mob: Topic: 262, Keyword number: 2
days: Topic: 262, Keyword number: 3
linklater: Topic: 262, Keyword number: 4
helen: Topic: 262, Keyword number: 5
combat: Topic: 262, Keyword number: 6
human: Topic: 262, Keyword number: 7
little_bit: Topic: 262, Keyword number: 8
gibson's: Topic: 262, Keyword number: 9
slacker: Topic: 262, Keyword number: 10
phase: Topic: 262, Keyword number: 11
quite: Topic: 262, Keyword number: 12
older_brother: Topic: 262, Keyword number: 13
she'll_make: Topic: 262, Keyword number: 14
michael_york: Topic: 262, Keyword number: 15
swing: Topic: 262, Keyword number: 16
isn't_even: Topic: 262, Keyword number: 17
twentysomething: Topic: 262, Keyword number: 18
squeal: Topic: 262, Keyword number: 19
unemployed: Topic: 262, Keyword number: 20
makes_little: Topic: 262, Keyword number: 21
council: Topic: 262, Keyword number: 22
tells_one: Topic: 262, Keyword number: 23
pursue: Topic: 262, Keyword number: 24
bob: Topic: 263, Keyword number: 0
silent_bob: Topic: 263, Keyword number: 1
silent: Topic: 263, Keyword number: 2
jay_silent: Topic: 263, Keyword number: 3
jay: Topic: 263, Keyword number: 4
smith's: Topic: 263, Keyword number: 5
strike_back: Topic: 263, Keyword number: 6
bob_strike: Topic: 263, Keyword number: 7
strike: Topic: 263, Keyword number: 8
comic_book: Topic: 263, Keyword number: 9
silent_bob's: Topic: 263, Keyword number: 10
bluntman_chronic: Topic: 263, Keyword number: 11
chronic: Topic: 263, Keyword number: 12
kevin_smith's: Topic: 263, Keyword number: 13
movie_year: Topic: 263, Keyword number: 14
fitts: Topic: 263, Keyword number: 15
book: Topic: 263, Keyword number: 16
weisz: Topic: 263, Keyword number: 17
jay's: Topic: 263, Keyword number: 18
nun: Topic: 263, Keyword number: 19
der_beek: Topic: 263, Keyword number: 20
beek: Topic: 263, Keyword number: 21
van_der: Topic: 263, Keyword number: 22
der: Topic: 263, Keyword number: 23
swan_song: Topic: 263, Keyword number: 24
plane: Topic: 264, Keyword number: 0
alex: Topic: 264, Keyword number: 1
lauri: Topic: 264, Keyword number: 2
drifting_clouds: Topic: 264, Keyword number: 3
alex's: Topic: 264, Keyword number: 4
carter: Topic: 264, Keyword number: 5
terminator's: Topic: 264, Keyword number: 6
devon_sawa: Topic: 264, Keyword number: 7
devon: Topic: 264, Keyword number: 8
denver: Topic: 264, Keyword number: 9
ali_larter: Topic: 264, Keyword number: 10
clouds: Topic: 264, Keyword number: 11
death's: Topic: 264, Keyword number: 12
candyman: Topic: 264, Keyword number: 13
clear_rivers: Topic: 264, Keyword number: 14
role_also: Topic: 264, Keyword number: 15
plane_exploding: Topic: 264, Keyword number: 16
denver_died: Topic: 264, Keyword number: 17
james_wong: Topic: 264, Keyword number: 18
colour: Topic: 264, Keyword number: 19
todd: Topic: 264, Keyword number: 20
idle_hands: Topic: 264, Keyword number: 21
died: Topic: 264, Keyword number: 22
airport: Topic: 264, Keyword number: 23
plays: Topic: 264, Keyword number: 24
makes: Topic: 265, Keyword number: 0
end: Topic: 265, Keyword number: 1
i've: Topic: 265, Keyword number: 2
world: Topic: 265, Keyword number: 3
it's: Topic: 265, Keyword number: 4
guys: Topic: 265, Keyword number: 5
young: Topic: 265, Keyword number: 6
year: Topic: 265, Keyword number: 7
simply: Topic: 265, Keyword number: 8
body: Topic: 265, Keyword number: 9
patrick: Topic: 265, Keyword number: 10
right: Topic: 265, Keyword number: 11
isn't: Topic: 265, Keyword number: 12
special: Topic: 265, Keyword number: 13
across: Topic: 265, Keyword number: 14
yet: Topic: 265, Keyword number: 15
troopers: Topic: 265, Keyword number: 16
starship: Topic: 265, Keyword number: 17
memory: Topic: 265, Keyword number: 18
confrontation: Topic: 265, Keyword number: 19
cinematography: Topic: 265, Keyword number: 20
dead: Topic: 265, Keyword number: 21
family: Topic: 265, Keyword number: 22
realistic: Topic: 265, Keyword number: 23
leaves: Topic: 265, Keyword number: 24
like_world: Topic: 266, Keyword number: 0
something_walked: Topic: 266, Keyword number: 1
coast_guard: Topic: 266, Keyword number: 2
idea_entire: Topic: 266, Keyword number: 3
sophisticated_plot: Topic: 266, Keyword number: 4
moving_it's: Topic: 266, Keyword number: 5
wholesome_clean-cut: Topic: 266, Keyword number: 6
dark: Topic: 267, Keyword number: 0
dark_city: Topic: 267, Keyword number: 1
murdoch: Topic: 267, Keyword number: 2
charlie: Topic: 267, Keyword number: 3
picture: Topic: 267, Keyword number: 4
strangers: Topic: 267, Keyword number: 5
blade_runner: Topic: 267, Keyword number: 6
runner: Topic: 267, Keyword number: 7
fiction: Topic: 267, Keyword number: 8
films: Topic: 267, Keyword number: 9
story: Topic: 267, Keyword number: 10
proyas: Topic: 267, Keyword number: 11
singer: Topic: 267, Keyword number: 12
humans: Topic: 267, Keyword number: 13
shine: Topic: 267, Keyword number: 14
thoughtful: Topic: 267, Keyword number: 15
susan: Topic: 267, Keyword number: 16
danvers: Topic: 267, Keyword number: 17
alex: Topic: 267, Keyword number: 18
hurt: Topic: 267, Keyword number: 19
john_murdoch: Topic: 267, Keyword number: 20
soul: Topic: 267, Keyword number: 21
effect: Topic: 267, Keyword number: 22
room: Topic: 267, Keyword number: 23
blade: Topic: 267, Keyword number: 24
suzie: Topic: 268, Keyword number: 0
wong: Topic: 268, Keyword number: 1
drunken: Topic: 268, Keyword number: 2
drunken_master: Topic: 268, Keyword number: 3
aside: Topic: 268, Keyword number: 4
sea: Topic: 268, Keyword number: 5
action: Topic: 268, Keyword number: 6
jackie_chan: Topic: 268, Keyword number: 7
chan: Topic: 268, Keyword number: 8
punishment: Topic: 268, Keyword number: 9
cracked: Topic: 268, Keyword number: 10
mother: Topic: 268, Keyword number: 11
kelly's: Topic: 268, Keyword number: 12
toller: Topic: 268, Keyword number: 13
fearless_hyena: Topic: 268, Keyword number: 14
kong: Topic: 268, Keyword number: 15
training: Topic: 268, Keyword number: 16
ray: Topic: 268, Keyword number: 17
taste: Topic: 268, Keyword number: 18
boyfriend: Topic: 268, Keyword number: 19
kei-ying: Topic: 268, Keyword number: 20
chan_movie: Topic: 268, Keyword number: 21
films_like: Topic: 268, Keyword number: 22
campbell: Topic: 268, Keyword number: 23
jim_kelly: Topic: 268, Keyword number: 24
cast: Topic: 269, Keyword number: 0
looking_like: Topic: 269, Keyword number: 1
pullman: Topic: 269, Keyword number: 2
gene: Topic: 269, Keyword number: 3
magic: Topic: 269, Keyword number: 4
legendary_lawman: Topic: 269, Keyword number: 5
confined: Topic: 269, Keyword number: 6
transcends: Topic: 269, Keyword number: 7
lea: Topic: 269, Keyword number: 8
monty: Topic: 269, Keyword number: 9
rooting: Topic: 269, Keyword number: 10
inspires: Topic: 269, Keyword number: 11
many_films: Topic: 269, Keyword number: 12
story_progresses: Topic: 269, Keyword number: 13
united_states: Topic: 269, Keyword number: 14
return_jedi: Topic: 269, Keyword number: 15
honour: Topic: 269, Keyword number: 16
everyone: Topic: 269, Keyword number: 17
star: Topic: 269, Keyword number: 18
get: Topic: 269, Keyword number: 19
grief_guilt: Topic: 269, Keyword number: 20
thrown_back: Topic: 269, Keyword number: 21
meet_abby: Topic: 269, Keyword number: 22
patton_usually: Topic: 269, Keyword number: 23
tate_moves: Topic: 269, Keyword number: 24
nuclear: Topic: 270, Keyword number: 0
soviet: Topic: 270, Keyword number: 1
groeteschele's: Topic: 270, Keyword number: 2
moscow: Topic: 270, Keyword number: 3
missile_crisis: Topic: 270, Keyword number: 4
soviets: Topic: 270, Keyword number: 5
aircraft: Topic: 270, Keyword number: 6
cuban_missile: Topic: 270, Keyword number: 7
missile: Topic: 270, Keyword number: 8
thirteen: Topic: 270, Keyword number: 9
stevenson: Topic: 270, Keyword number: 10
mimi_leder: Topic: 270, Keyword number: 11
arming: Topic: 270, Keyword number: 12
much_detail: Topic: 270, Keyword number: 13
russia's: Topic: 270, Keyword number: 14
unidentified_aircraft: Topic: 270, Keyword number: 15
nuclear_confrontation: Topic: 270, Keyword number: 16
burdick: Topic: 270, Keyword number: 17
sensible: Topic: 270, Keyword number: 18
states: Topic: 270, Keyword number: 19
quickly: Topic: 270, Keyword number: 20
things_look: Topic: 270, Keyword number: 21
period_make: Topic: 270, Keyword number: 22
cars_period: Topic: 270, Keyword number: 23
o'donnell's_admonition: Topic: 270, Keyword number: 24
mainly: Topic: 271, Keyword number: 0
bly: Topic: 271, Keyword number: 1
sock_coen's: Topic: 271, Keyword number: 2
creative_daring: Topic: 271, Keyword number: 3
confection_cocky: Topic: 271, Keyword number: 4
marvelous_confection: Topic: 271, Keyword number: 5
words_vanity: Topic: 271, Keyword number: 6
appears_many: Topic: 271, Keyword number: 7
idea_center: Topic: 271, Keyword number: 8
coen's_fargo: Topic: 271, Keyword number: 9
oh-so-adorable: Topic: 271, Keyword number: 10
chalks_sexy: Topic: 271, Keyword number: 11
barcode: Topic: 271, Keyword number: 12
moot_least: Topic: 271, Keyword number: 13
wisdom_god: Topic: 271, Keyword number: 14
definite_point: Topic: 271, Keyword number: 15
warriors_think: Topic: 271, Keyword number: 16
possession_elements: Topic: 271, Keyword number: 17
discover_followed: Topic: 271, Keyword number: 18
attempting_escape: Topic: 271, Keyword number: 19
buildings_higher: Topic: 271, Keyword number: 20
elements_stored: Topic: 271, Keyword number: 21
egypt_think: Topic: 271, Keyword number: 22
element's: Topic: 271, Keyword number: 23
steps_wrong: Topic: 271, Keyword number: 24
star: Topic: 272, Keyword number: 0
star_wars: Topic: 272, Keyword number: 1
wars: Topic: 272, Keyword number: 2
special: Topic: 272, Keyword number: 3
stories: Topic: 272, Keyword number: 4
adult: Topic: 272, Keyword number: 5
cause: Topic: 272, Keyword number: 6
final: Topic: 272, Keyword number: 7
personal: Topic: 272, Keyword number: 8
generation: Topic: 272, Keyword number: 9
history: Topic: 272, Keyword number: 10
even: Topic: 272, Keyword number: 11
bala: Topic: 272, Keyword number: 12
family: Topic: 272, Keyword number: 13
feels: Topic: 272, Keyword number: 14
background: Topic: 272, Keyword number: 15
forgotten: Topic: 272, Keyword number: 16
yet: Topic: 272, Keyword number: 17
ant: Topic: 272, Keyword number: 18
frank: Topic: 272, Keyword number: 19
science_fiction: Topic: 272, Keyword number: 20
plenty: Topic: 272, Keyword number: 21
princess: Topic: 272, Keyword number: 22
tense: Topic: 272, Keyword number: 23
smile: Topic: 272, Keyword number: 24
movie: Topic: 273, Keyword number: 0
whose: Topic: 273, Keyword number: 1
something: Topic: 273, Keyword number: 2
well: Topic: 273, Keyword number: 3
special_effects: Topic: 273, Keyword number: 4
jack: Topic: 273, Keyword number: 5
douglas: Topic: 273, Keyword number: 6
also: Topic: 273, Keyword number: 7
simply: Topic: 273, Keyword number: 8
although: Topic: 273, Keyword number: 9
end: Topic: 273, Keyword number: 10
harrison_ford: Topic: 273, Keyword number: 11
everyone: Topic: 273, Keyword number: 12
full: Topic: 273, Keyword number: 13
chance: Topic: 273, Keyword number: 14
kind: Topic: 273, Keyword number: 15
beginning: Topic: 273, Keyword number: 16
team: Topic: 273, Keyword number: 17
reality: Topic: 273, Keyword number: 18
best: Topic: 273, Keyword number: 19
comedy: Topic: 273, Keyword number: 20
extremely_well: Topic: 273, Keyword number: 21
proves: Topic: 273, Keyword number: 22
guy: Topic: 273, Keyword number: 23
astonishing: Topic: 273, Keyword number: 24
hollywood_continute: Topic: 274, Keyword number: 0
picture_natural: Topic: 274, Keyword number: 1
sometimes_wisecracks: Topic: 275, Keyword number: 0
day_cat: Topic: 275, Keyword number: 1
paulie_hear: Topic: 275, Keyword number: 2
movies_parrots: Topic: 275, Keyword number: 3
local_pound: Topic: 275, Keyword number: 4
unlike_kwai: Topic: 275, Keyword number: 5
six_soldiers: Topic: 275, Keyword number: 6
treasured_courtesan: Topic: 275, Keyword number: 7
charm_good: Topic: 275, Keyword number: 8
lean's: Topic: 275, Keyword number: 9
side_characters: Topic: 275, Keyword number: 10
last_long: Topic: 275, Keyword number: 11
owners: Topic: 275, Keyword number: 12
couldn't: Topic: 275, Keyword number: 13
brick_top: Topic: 276, Keyword number: 0
brick: Topic: 276, Keyword number: 1
pitt: Topic: 276, Keyword number: 2
ritchie: Topic: 276, Keyword number: 3
gypsy: Topic: 276, Keyword number: 4
alan_ford: Topic: 276, Keyword number: 5
vinnie: Topic: 276, Keyword number: 6
avi: Topic: 276, Keyword number: 7
barrels: Topic: 276, Keyword number: 8
two_smoking: Topic: 276, Keyword number: 9
snatch_lock: Topic: 276, Keyword number: 10
o'neil: Topic: 276, Keyword number: 11
fixed: Topic: 276, Keyword number: 12
gangster: Topic: 276, Keyword number: 13
combs_paranoid: Topic: 276, Keyword number: 14
elfman_hardly: Topic: 276, Keyword number: 15
noone: Topic: 276, Keyword number: 16
directions_nonetheless: Topic: 276, Keyword number: 17
talent_filmmaker: Topic: 276, Keyword number: 18
future_works: Topic: 276, Keyword number: 19
translate_future: Topic: 276, Keyword number: 20
sure_translate: Topic: 276, Keyword number: 21
ritchie_i'm: Topic: 276, Keyword number: 22
reeks_signature: Topic: 276, Keyword number: 23
look_snatch: Topic: 276, Keyword number: 24
forces: Topic: 277, Keyword number: 0
eugene: Topic: 277, Keyword number: 1
pie: Topic: 277, Keyword number: 2
eugene_levy: Topic: 277, Keyword number: 3
waiting_guffman: Topic: 277, Keyword number: 4
intros: Topic: 277, Keyword number: 5
raunch: Topic: 277, Keyword number: 6
arouse: Topic: 277, Keyword number: 7
crass: Topic: 277, Keyword number: 8
kev: Topic: 277, Keyword number: 9
get_laid: Topic: 277, Keyword number: 10
spread: Topic: 277, Keyword number: 11
bitter_taste: Topic: 277, Keyword number: 12
ben_sarah: Topic: 277, Keyword number: 13
apple: Topic: 277, Keyword number: 14
movies_even: Topic: 277, Keyword number: 15
approach: Topic: 277, Keyword number: 16
feasting_kentucky: Topic: 277, Keyword number: 17
fill_shoes: Topic: 277, Keyword number: 18
air_broadcasting: Topic: 277, Keyword number: 19
everyman_character: Topic: 277, Keyword number: 20
later_point: Topic: 277, Keyword number: 21
sean_wants: Topic: 277, Keyword number: 22
gradually_emerges: Topic: 277, Keyword number: 23
problems_overnight: Topic: 277, Keyword number: 24
movie: Topic: 278, Keyword number: 0
see: Topic: 278, Keyword number: 1
say: Topic: 278, Keyword number: 2
black: Topic: 278, Keyword number: 3
tale: Topic: 278, Keyword number: 4
i'm: Topic: 278, Keyword number: 5
mighty: Topic: 278, Keyword number: 6
big: Topic: 278, Keyword number: 7
show: Topic: 278, Keyword number: 8
behind: Topic: 278, Keyword number: 9
long: Topic: 278, Keyword number: 10
two_girls: Topic: 278, Keyword number: 11
mib: Topic: 278, Keyword number: 12
every: Topic: 278, Keyword number: 13
joe: Topic: 278, Keyword number: 14
good: Topic: 278, Keyword number: 15
may: Topic: 278, Keyword number: 16
extremely: Topic: 278, Keyword number: 17
supporting: Topic: 278, Keyword number: 18
computer_generated: Topic: 278, Keyword number: 19
cinematography: Topic: 278, Keyword number: 20
family: Topic: 278, Keyword number: 21
lead: Topic: 278, Keyword number: 22
beavis: Topic: 278, Keyword number: 23
sticks: Topic: 278, Keyword number: 24
jedi: Topic: 279, Keyword number: 0
jar: Topic: 279, Keyword number: 1
force: Topic: 279, Keyword number: 2
george: Topic: 279, Keyword number: 3
original: Topic: 279, Keyword number: 4
phantom: Topic: 279, Keyword number: 5
amidala: Topic: 279, Keyword number: 6
original_star: Topic: 279, Keyword number: 7
anakin_skywalker: Topic: 279, Keyword number: 8
neeson: Topic: 279, Keyword number: 9
queen_amidala: Topic: 279, Keyword number: 10
star_wars: Topic: 279, Keyword number: 11
time_machine: Topic: 279, Keyword number: 12
obi-wan_kenobi: Topic: 279, Keyword number: 13
portman: Topic: 279, Keyword number: 14
arguably: Topic: 279, Keyword number: 15
river: Topic: 279, Keyword number: 16
senate: Topic: 279, Keyword number: 17
darth_maul: Topic: 279, Keyword number: 18
blockbuster: Topic: 279, Keyword number: 19
nostalgia: Topic: 279, Keyword number: 20
lloyd: Topic: 279, Keyword number: 21
pod-race_sequence: Topic: 279, Keyword number: 22
film_jar: Topic: 279, Keyword number: 23
individually: Topic: 279, Keyword number: 24
lot: Topic: 280, Keyword number: 0
boy: Topic: 280, Keyword number: 1
malcolm: Topic: 280, Keyword number: 2
cole: Topic: 280, Keyword number: 3
frank: Topic: 280, Keyword number: 4
cage: Topic: 280, Keyword number: 5
bringing_dead: Topic: 280, Keyword number: 6
porter: Topic: 280, Keyword number: 7
haley_joel: Topic: 280, Keyword number: 8
although: Topic: 280, Keyword number: 9
men: Topic: 280, Keyword number: 10
watch: Topic: 280, Keyword number: 11
end: Topic: 280, Keyword number: 12
ving: Topic: 280, Keyword number: 13
bruce_willis: Topic: 280, Keyword number: 14
effective: Topic: 280, Keyword number: 15
touch: Topic: 280, Keyword number: 16
endless: Topic: 280, Keyword number: 17
work: Topic: 280, Keyword number: 18
place: Topic: 280, Keyword number: 19
ving_rhames: Topic: 280, Keyword number: 20
rhames: Topic: 280, Keyword number: 21
haley: Topic: 280, Keyword number: 22
olivia: Topic: 280, Keyword number: 23
cole's: Topic: 280, Keyword number: 24
bus: Topic: 281, Keyword number: 0
morrison's_novel: Topic: 281, Keyword number: 1
dream_schlesinger: Topic: 281, Keyword number: 2
joe_envisions: Topic: 281, Keyword number: 3
cowboy_hero: Topic: 281, Keyword number: 4
gary_cooper: Topic: 281, Keyword number: 5
eighteen_years: Topic: 281, Keyword number: 6
beloved_'s: Topic: 281, Keyword number: 7
slave_escaped: Topic: 281, Keyword number: 8
cooper: Topic: 281, Keyword number: 9
creates_palpable: Topic: 281, Keyword number: 10
eighteen-wheeler: Topic: 281, Keyword number: 11
natural_played: Topic: 281, Keyword number: 12
excellent_well-done: Topic: 281, Keyword number: 13
ends_raping: Topic: 281, Keyword number: 14
intangible: Topic: 281, Keyword number: 15
york_search: Topic: 281, Keyword number: 16
fortune_big: Topic: 281, Keyword number: 17
perseverance_make: Topic: 281, Keyword number: 18
raise_beautiful: Topic: 281, Keyword number: 19
ranch_west: Topic: 281, Keyword number: 20
indians_set: Topic: 281, Keyword number: 21
incarnations: Topic: 281, Keyword number: 22
aspire_enterprising: Topic: 281, Keyword number: 23
raved: Topic: 281, Keyword number: 24
race: Topic: 282, Keyword number: 0
maclachlan: Topic: 282, Keyword number: 1
jerry: Topic: 282, Keyword number: 2
rat_race: Topic: 282, Keyword number: 3
pear: Topic: 282, Keyword number: 4
las_vegas: Topic: 282, Keyword number: 5
sinclair: Topic: 282, Keyword number: 6
pledge: Topic: 282, Keyword number: 7
hopper: Topic: 282, Keyword number: 8
lori: Topic: 282, Keyword number: 9
gas: Topic: 282, Keyword number: 10
station: Topic: 282, Keyword number: 11
builds: Topic: 282, Keyword number: 12
uncomfortably: Topic: 282, Keyword number: 13
cleese's: Topic: 282, Keyword number: 14
becomes_involved: Topic: 282, Keyword number: 15
gas_station: Topic: 282, Keyword number: 16
lovitz_family: Topic: 282, Keyword number: 17
bates: Topic: 282, Keyword number: 18
seth_green: Topic: 282, Keyword number: 19
seth: Topic: 282, Keyword number: 20
rowan: Topic: 282, Keyword number: 21
convention: Topic: 282, Keyword number: 22
befriends: Topic: 282, Keyword number: 23
movie_sole: Topic: 282, Keyword number: 24
doll: Topic: 283, Keyword number: 0
many_horror: Topic: 283, Keyword number: 1
card_offering: Topic: 283, Keyword number: 2
quality_complain: Topic: 283, Keyword number: 3
expecting_elaborate: Topic: 283, Keyword number: 4
subtle_sterotypically: Topic: 283, Keyword number: 5
dose_visual: Topic: 283, Keyword number: 6
wonder_course: Topic: 283, Keyword number: 7
pilots_get: Topic: 283, Keyword number: 8
soon_whole: Topic: 283, Keyword number: 9
another_soon: Topic: 283, Keyword number: 10
sick_another: Topic: 283, Keyword number: 11
criticizes_ted: Topic: 283, Keyword number: 12
even_criticizes: Topic: 283, Keyword number: 13
ticket_flight: Topic: 283, Keyword number: 14
buys_ticket: Topic: 283, Keyword number: 15
lose_ted: Topic: 283, Keyword number: 16
ever_stable: Topic: 283, Keyword number: 17
living_past: Topic: 283, Keyword number: 18
led_death: Topic: 283, Keyword number: 19
crashing_ocean: Topic: 283, Keyword number: 20
like_earthquake: Topic: 283, Keyword number: 21
cornerstone_work: Topic: 283, Keyword number: 22
zucker/abrahams/zucker: Topic: 283, Keyword number: 23
gun_hot: Topic: 283, Keyword number: 24
minnesota: Topic: 284, Keyword number: 0
possible: Topic: 284, Keyword number: 1
reveals_killer: Topic: 284, Keyword number: 2
birdy: Topic: 284, Keyword number: 3
party_delightful: Topic: 284, Keyword number: 4
insure_hrundi: Topic: 284, Keyword number: 5
seems_make: Topic: 284, Keyword number: 6
hrundi_bakshi: Topic: 284, Keyword number: 7
kind_victim: Topic: 284, Keyword number: 8
begin_kill: Topic: 284, Keyword number: 9
fox_aren't: Topic: 284, Keyword number: 10
outside_michael: Topic: 284, Keyword number: 11
stop_bleeding: Topic: 284, Keyword number: 12
decorated_napkin: Topic: 284, Keyword number: 13
