fully-ripened_comic: Topic: 2, Keyword number: 0
wes_craven's: Topic: 1016, Keyword number: 4
black_cauldron: Topic: 1017, Keyword number: 0
hen_wen: Topic: 1017, Keyword number: 1
army_deathless: Topic: 1017, Keyword number: 2
hen_wen's: Topic: 1017, Keyword number: 3
cauldron_would: Topic: 1017, Keyword number: 4
failure: Topic: 1017, Keyword number: 5
think_though: Topic: 1017, Keyword number: 6
disney's_proudest: Topic: 1017, Keyword number: 7
film_finally: Topic: 1017, Keyword number: 8
disney's_films: Topic: 1017, Keyword number: 9
scary_scenes: Topic: 1017, Keyword number: 10
kick_one: Topic: 1017, Keyword number: 11
manner_animation: Topic: 1017, Keyword number: 12
yet_calming: Topic: 1017, Keyword number: 13
hide_dark: Topic: 1017, Keyword number: 14
film's_imaginative: Topic: 1017, Keyword number: 15
hit_first: Topic: 1017, Keyword number: 16
gurgi_john: Topic: 1017, Keyword number: 17
pig-keeper_story's: Topic: 1017, Keyword number: 18
bardsley: Topic: 1017, Keyword number: 19
like_instead: Topic: 1017, Keyword number: 20
called_bad: Topic: 1017, Keyword number: 21
surprise_saw: Topic: 1017, Keyword number: 22
felt_indeed: Topic: 1017, Keyword number: 23
released_rated: Topic: 1017, Keyword number: 24
brand_political: Topic: 1018, Keyword number: 0
task_without: Topic: 1019, Keyword number: 0
effects_helps: Topic: 1019, Keyword number: 1
gothic_comedy: Topic: 1019, Keyword number: 2
red_shoes: Topic: 1019, Keyword number: 3
dorothy's_ruby: Topic: 1019, Keyword number: 4
routine_click: Topic: 1019, Keyword number: 5
likeable_makes: Topic: 1019, Keyword number: 6
feel_makes: Topic: 1019, Keyword number: 7
course_nyc: Topic: 1019, Keyword number: 8
wierdness_talking: Topic: 1019, Keyword number: 9
darndest_cover: Topic: 1019, Keyword number: 10
comedy_pokes: Topic: 1019, Keyword number: 11
offbeat_sci-fi: Topic: 1019, Keyword number: 12
steals_key: Topic: 1019, Keyword number: 13
movie_isn't: Topic: 1019, Keyword number: 14
stronger: Topic: 1019, Keyword number: 15
spark: Topic: 1019, Keyword number: 16
carrying: Topic: 1019, Keyword number: 17
bilal: Topic: 1020, Keyword number: 0
bea: Topic: 1020, Keyword number: 1
hippie: Topic: 1020, Keyword number: 2
sufi: Topic: 1020, Keyword number: 3
london: Topic: 1020, Keyword number: 4
experiences_many: Topic: 1020, Keyword number: 5
shown_one: Topic: 1020, Keyword number: 6
whatever_world: Topic: 1020, Keyword number: 7
returning_london: Topic: 1020, Keyword number: 8
reality_returning: Topic: 1020, Keyword number: 9
care_without: Topic: 1020, Keyword number: 10
mother_cares: Topic: 1020, Keyword number: 11
julia_cornerstone: Topic: 1020, Keyword number: 12
precocious_lovable: Topic: 1020, Keyword number: 13
mystical_trip: Topic: 1020, Keyword number: 14
hippie_wouldn't: Topic: 1020, Keyword number: 15
behaved_like: Topic: 1020, Keyword number: 16
hashish_less: Topic: 1020, Keyword number: 17
trip_surface: Topic: 1020, Keyword number: 18
baby-boom: Topic: 1020, Keyword number: 19
helpless_single: Topic: 1020, Keyword number: 20
julia_storyline: Topic: 1020, Keyword number: 21
bilal_julia: Topic: 1020, Keyword number: 22
risk_free: Topic: 1020, Keyword number: 23
got_watching: Topic: 1020, Keyword number: 24
film: Topic: 1022, Keyword number: 0
movie: Topic: 1022, Keyword number: 1
much: Topic: 1022, Keyword number: 2
wife: Topic: 1022, Keyword number: 3
grease: Topic: 1022, Keyword number: 4
horror: Topic: 1022, Keyword number: 5
cast: Topic: 1022, Keyword number: 6
scream: Topic: 1022, Keyword number: 7
galaxy_quest: Topic: 1022, Keyword number: 8
first: Topic: 1022, Keyword number: 9
sci-fi: Topic: 1022, Keyword number: 10
sean: Topic: 1022, Keyword number: 11
danny: Topic: 1022, Keyword number: 12
one: Topic: 1022, Keyword number: 13
nothing: Topic: 1022, Keyword number: 14
long: Topic: 1022, Keyword number: 15
sandy: Topic: 1022, Keyword number: 16
visit: Topic: 1022, Keyword number: 17
travolta: Topic: 1022, Keyword number: 18
changed: Topic: 1022, Keyword number: 19
musical: Topic: 1022, Keyword number: 20
star_trek: Topic: 1022, Keyword number: 21
sex: Topic: 1022, Keyword number: 22
always: Topic: 1022, Keyword number: 23
characters: Topic: 1022, Keyword number: 24
seven: Topic: 1023, Keyword number: 0
clapping: Topic: 1023, Keyword number: 1
wide-spread: Topic: 1023, Keyword number: 2
moment_aren't: Topic: 1023, Keyword number: 3
norbu: Topic: 1023, Keyword number: 4
concerned_visuals: Topic: 1023, Keyword number: 5
lama_trip: Topic: 1023, Keyword number: 6
commendable_stumbling: Topic: 1023, Keyword number: 7
over-explain: Topic: 1023, Keyword number: 8
chinese_events: Topic: 1023, Keyword number: 9
shifted_gears: Topic: 1023, Keyword number: 10
audience_walking: Topic: 1023, Keyword number: 11
meditation_audience: Topic: 1023, Keyword number: 12
mandala_grain: Topic: 1023, Keyword number: 13
hinted_dalai: Topic: 1023, Keyword number: 14
problems_tibetan: Topic: 1023, Keyword number: 15
mentioned_glossed: Topic: 1023, Keyword number: 16
handle_facts: Topic: 1023, Keyword number: 17
boxoffice: Topic: 1023, Keyword number: 18
make_painful: Topic: 1023, Keyword number: 19
prepared_take: Topic: 1023, Keyword number: 20
village_two-year-old: Topic: 1023, Keyword number: 21
actors_artists: Topic: 1023, Keyword number: 22
plight_people: Topic: 1023, Keyword number: 23
tours_tibetan: Topic: 1023, Keyword number: 24
rawhide: Topic: 1024, Keyword number: 0
delivering: Topic: 1025, Keyword number: 0
usually_found: Topic: 1025, Keyword number: 1
snob: Topic: 1025, Keyword number: 2
judgement: Topic: 1025, Keyword number: 3
ship: Topic: 1025, Keyword number: 4
lover_ben: Topic: 1025, Keyword number: 5
acting_recall: Topic: 1025, Keyword number: 6
movie_summed: Topic: 1025, Keyword number: 7
med_school: Topic: 1025, Keyword number: 8
talk_harvard: Topic: 1025, Keyword number: 9
less_talk: Topic: 1025, Keyword number: 10
city-street_tough: Topic: 1025, Keyword number: 11
narrative_focus: Topic: 1025, Keyword number: 12
ring_bell: Topic: 1025, Keyword number: 13
williams_problems: Topic: 1025, Keyword number: 14
therapist_named: Topic: 1025, Keyword number: 15
elite_professor: Topic: 1025, Keyword number: 16
authority_stiff: Topic: 1025, Keyword number: 17
drink_beer: Topic: 1025, Keyword number: 18
genius_struggles: Topic: 1025, Keyword number: 19
goods_easy: Topic: 1025, Keyword number: 20
alien_spawn: Topic: 1025, Keyword number: 21
elements_movie's: Topic: 1025, Keyword number: 22
good_blend: Topic: 1025, Keyword number: 23
conventional_placement: Topic: 1025, Keyword number: 24
keyser_soze: Topic: 1026, Keyword number: 0
keyser: Topic: 1026, Keyword number: 1
criminals: Topic: 1026, Keyword number: 2
spielberg: Topic: 1026, Keyword number: 3
story_up-and-coming: Topic: 1026, Keyword number: 4
mystery_story: Topic: 1026, Keyword number: 5
persists_even: Topic: 1026, Keyword number: 6
flag_though: Topic: 1026, Keyword number: 7
sequence_atrocious: Topic: 1026, Keyword number: 8
introduction_lives: Topic: 1026, Keyword number: 9
forgivable_isn't: Topic: 1026, Keyword number: 10
marshall_mrs: Topic: 1026, Keyword number: 11
time_spielberg: Topic: 1026, Keyword number: 12
perfection_sequences: Topic: 1026, Keyword number: 13
characters_generate: Topic: 1026, Keyword number: 14
sensational_barry: Topic: 1026, Keyword number: 15
cage_raising: Topic: 1026, Keyword number: 16
gang_also: Topic: 1026, Keyword number: 17
irvin_kershner: Topic: 1026, Keyword number: 18
sequel_exactly: Topic: 1026, Keyword number: 19
make_robocop: Topic: 1026, Keyword number: 20
company_ocp: Topic: 1026, Keyword number: 21
times_body: Topic: 1026, Keyword number: 22
hell_kris: Topic: 1026, Keyword number: 23
details_open: Topic: 1026, Keyword number: 24
king's: Topic: 1027, Keyword number: 0
rita_hayworth: Topic: 1027, Keyword number: 1
todd_like: Topic: 1027, Keyword number: 2
film-schoolish: Topic: 1027, Keyword number: 3
keyser_system: Topic: 1027, Keyword number: 4
one_requires: Topic: 1027, Keyword number: 5
fairly_unpredictable: Topic: 1027, Keyword number: 6
pseudonymous: Topic: 1027, Keyword number: 7
senior_citizen: Topic: 1027, Keyword number: 8
honours_student: Topic: 1027, Keyword number: 9
john_donne: Topic: 1027, Keyword number: 10
setbacks_going: Topic: 1027, Keyword number: 11
together_older: Topic: 1027, Keyword number: 12
villain_daylight_'s: Topic: 1027, Keyword number: 13
real_difference: Topic: 1027, Keyword number: 14
upon_get: Topic: 1027, Keyword number: 15
dragon_bruce: Topic: 1027, Keyword number: 16
either_rob: Topic: 1027, Keyword number: 17
deal_either: Topic: 1027, Keyword number: 18
familiar_territory: Topic: 1027, Keyword number: 19
strips: Topic: 1027, Keyword number: 20
morally: Topic: 1027, Keyword number: 21
murky: Topic: 1027, Keyword number: 22
thank_steve: Topic: 1027, Keyword number: 23
war_became: Topic: 1027, Keyword number: 24
six_days: Topic: 1029, Keyword number: 0
seven: Topic: 1029, Keyword number: 1
pairing: Topic: 1029, Keyword number: 2
infuriatingly: Topic: 1029, Keyword number: 3
ought_anyway: Topic: 1029, Keyword number: 4
rejected_peers: Topic: 1029, Keyword number: 5
fact_simultaneously: Topic: 1029, Keyword number: 6
stammers_still: Topic: 1029, Keyword number: 7
good_heche: Topic: 1029, Keyword number: 8
old_several: Topic: 1029, Keyword number: 9
attract_utmost: Topic: 1029, Keyword number: 10
utmost: Topic: 1029, Keyword number: 11
ford_really: Topic: 1029, Keyword number: 12
big_way: Topic: 1029, Keyword number: 13
affect_believability: Topic: 1029, Keyword number: 14
degeneres: Topic: 1029, Keyword number: 15
undeserved_fire: Topic: 1029, Keyword number: 16
undeserved: Topic: 1029, Keyword number: 17
played_wink: Topic: 1029, Keyword number: 18
mishap_another: Topic: 1029, Keyword number: 19
mean_arrrgh: Topic: 1029, Keyword number: 20
allows_plenty: Topic: 1029, Keyword number: 21
browning's_clever: Topic: 1029, Keyword number: 22
browning's: Topic: 1029, Keyword number: 23
title_michael: Topic: 1029, Keyword number: 24
sincerely: Topic: 1030, Keyword number: 0
confident_charming: Topic: 1030, Keyword number: 1
americanized: Topic: 1030, Keyword number: 2
yes--love: Topic: 1030, Keyword number: 3
fathered: Topic: 1030, Keyword number: 4
canada_joblo's: Topic: 1030, Keyword number: 5
name_krishna: Topic: 1030, Keyword number: 6
real_name: Topic: 1030, Keyword number: 7
without_much: Topic: 1030, Keyword number: 8
show_film: Topic: 1030, Keyword number: 9
offer_anything: Topic: 1030, Keyword number: 10
cool_scenes: Topic: 1030, Keyword number: 11
come_offer: Topic: 1030, Keyword number: 12
piece_interesting: Topic: 1030, Keyword number: 13
critique_great: Topic: 1030, Keyword number: 14
tee_ramirez: Topic: 1030, Keyword number: 15
called_upon: Topic: 1030, Keyword number: 16
jackal_one: Topic: 1030, Keyword number: 17
admittedly: Topic: 1030, Keyword number: 18
owns: Topic: 1030, Keyword number: 19
neo: Topic: 1031, Keyword number: 0
excellent: Topic: 1031, Keyword number: 1
matrix: Topic: 1031, Keyword number: 2
however: Topic: 1031, Keyword number: 3
reeves: Topic: 1031, Keyword number: 4
cameron: Topic: 1031, Keyword number: 5
atmosphere: Topic: 1031, Keyword number: 6
listen: Topic: 1031, Keyword number: 7
run: Topic: 1031, Keyword number: 8
humans: Topic: 1031, Keyword number: 9
looking: Topic: 1031, Keyword number: 10
lee: Topic: 1031, Keyword number: 11
works: Topic: 1031, Keyword number: 12
obsession: Topic: 1031, Keyword number: 13
sara: Topic: 1031, Keyword number: 14
intentions: Topic: 1031, Keyword number: 15
present: Topic: 1031, Keyword number: 16
art_direction: Topic: 1031, Keyword number: 17
result: Topic: 1031, Keyword number: 18
purpose: Topic: 1031, Keyword number: 19
morpheus: Topic: 1031, Keyword number: 20
films_one: Topic: 1031, Keyword number: 21
fighting: Topic: 1031, Keyword number: 22
group: Topic: 1031, Keyword number: 23
intelligence: Topic: 1031, Keyword number: 24
practical: Topic: 1033, Keyword number: 0
simply_unbearable: Topic: 1033, Keyword number: 1
van_peebles: Topic: 1035, Keyword number: 0
soundtrack_another: Topic: 1035, Keyword number: 1
cops_loaded: Topic: 1035, Keyword number: 2
fresh_new: Topic: 1035, Keyword number: 3
today_probably: Topic: 1035, Keyword number: 4
stylistics_relatively: Topic: 1035, Keyword number: 5
stylistics: Topic: 1035, Keyword number: 6
people_made: Topic: 1035, Keyword number: 7
visits_friend's: Topic: 1035, Keyword number: 8
sweetback_visits: Topic: 1035, Keyword number: 9
campaigns: Topic: 1035, Keyword number: 10
all-white_jury: Topic: 1035, Keyword number: 11
seen_serious: Topic: 1035, Keyword number: 12
breaks_bonds: Topic: 1035, Keyword number: 13
white_cops: Topic: 1035, Keyword number: 14
probably_melt: Topic: 1035, Keyword number: 15
reflects_pallid: Topic: 1035, Keyword number: 16
pallid: Topic: 1035, Keyword number: 17
directness_clumsiness: Topic: 1035, Keyword number: 18
initation_underneath: Topic: 1035, Keyword number: 19
sounds_young: Topic: 1035, Keyword number: 20
checked_that's: Topic: 1035, Keyword number: 21
sweetback's: Topic: 1035, Keyword number: 22
run_cops: Topic: 1035, Keyword number: 23
people_real: Topic: 1035, Keyword number: 24
brink_death: Topic: 1041, Keyword number: 0
marius's_selflessly: Topic: 1042, Keyword number: 0
friend_marius's: Topic: 1042, Keyword number: 1
cerebrally: Topic: 1042, Keyword number: 2
robert_sean: Topic: 1042, Keyword number: 3
sumptuous_period: Topic: 1042, Keyword number: 4
jorgen: Topic: 1042, Keyword number: 5
highly_preposterous: Topic: 1042, Keyword number: 6
epics_made: Topic: 1042, Keyword number: 7
student_revolutionary: Topic: 1042, Keyword number: 8
breaking_parole: Topic: 1042, Keyword number: 9
lets_valjean: Topic: 1042, Keyword number: 10
silverware_kindly: Topic: 1042, Keyword number: 11
seeing_probably: Topic: 1042, Keyword number: 12
queen_well: Topic: 1042, Keyword number: 13
shaky_foundation: Topic: 1042, Keyword number: 14
knows_far: Topic: 1042, Keyword number: 15
mcgregor_wise: Topic: 1042, Keyword number: 16
weight_incomparable: Topic: 1042, Keyword number: 17
though_often: Topic: 1042, Keyword number: 18
de-mystify: Topic: 1042, Keyword number: 19
parasites_body's: Topic: 1042, Keyword number: 20
however_largely: Topic: 1042, Keyword number: 21
cover_understandable: Topic: 1042, Keyword number: 22
history_characterization: Topic: 1042, Keyword number: 23
addition_unfamiliar: Topic: 1042, Keyword number: 24
return_jedi: Topic: 1044, Keyword number: 0
jedi: Topic: 1044, Keyword number: 1
return: Topic: 1044, Keyword number: 2
vader: Topic: 1044, Keyword number: 3
empire: Topic: 1044, Keyword number: 4
emperor: Topic: 1044, Keyword number: 5
star_wars: Topic: 1044, Keyword number: 6
star: Topic: 1044, Keyword number: 7
han: Topic: 1044, Keyword number: 8
empire_strikes: Topic: 1044, Keyword number: 9
strikes: Topic: 1044, Keyword number: 10
darth_vader: Topic: 1044, Keyword number: 11
tatooine: Topic: 1044, Keyword number: 12
darth: Topic: 1044, Keyword number: 13
wars: Topic: 1044, Keyword number: 14
previous_films: Topic: 1044, Keyword number: 15
jar: Topic: 1044, Keyword number: 16
jabba_hutt: Topic: 1044, Keyword number: 17
hutt: Topic: 1044, Keyword number: 18
jabba: Topic: 1044, Keyword number: 19
strikes_back: Topic: 1044, Keyword number: 20
leia: Topic: 1044, Keyword number: 21
special: Topic: 1044, Keyword number: 22
death_star: Topic: 1044, Keyword number: 23
chewbacca: Topic: 1044, Keyword number: 24
pillow_better: Topic: 1045, Keyword number: 0
one_eyeroll: Topic: 1045, Keyword number: 1
silly_every: Topic: 1045, Keyword number: 2
okay_paraphrase: Topic: 1045, Keyword number: 3
considerable: Topic: 1046, Keyword number: 0
affect: Topic: 1046, Keyword number: 1
pete_dayton: Topic: 1046, Keyword number: 2
universe: Topic: 1046, Keyword number: 3
daniel: Topic: 1046, Keyword number: 4
appear: Topic: 1046, Keyword number: 5
typically: Topic: 1046, Keyword number: 6
inject_life: Topic: 1046, Keyword number: 7
opportunity_end: Topic: 1046, Keyword number: 8
shots_men: Topic: 1046, Keyword number: 9
light_beaming: Topic: 1046, Keyword number: 10
barrymore_could: Topic: 1046, Keyword number: 11
running_gambit: Topic: 1046, Keyword number: 12
dormant_state: Topic: 1046, Keyword number: 13
spectacle_light: Topic: 1046, Keyword number: 14
great_crazed: Topic: 1046, Keyword number: 15
seat_thrill: Topic: 1046, Keyword number: 16
liked_labyrinth: Topic: 1046, Keyword number: 17
inside_fortress: Topic: 1046, Keyword number: 18
dollar_signs: Topic: 1046, Keyword number: 19
learns_fortress: Topic: 1046, Keyword number: 20
saved_king's: Topic: 1046, Keyword number: 21
agamemnon_played: Topic: 1046, Keyword number: 22
hood_eventually: Topic: 1046, Keyword number: 23
face_demanding: Topic: 1046, Keyword number: 24
closest_ultimately: Topic: 1047, Keyword number: 0
hits_home: Topic: 1047, Keyword number: 1
i'd_gladly: Topic: 1047, Keyword number: 2
however_probably: Topic: 1047, Keyword number: 3
cold_little: Topic: 1047, Keyword number: 4
jump_bandwagon: Topic: 1047, Keyword number: 5
jack: Topic: 1048, Keyword number: 0
shows: Topic: 1048, Keyword number: 1
generation: Topic: 1048, Keyword number: 2
also_lacks: Topic: 1048, Keyword number: 3
could_explained: Topic: 1048, Keyword number: 4
philip_kaufman: Topic: 1048, Keyword number: 5
labelled: Topic: 1048, Keyword number: 6
distributors: Topic: 1048, Keyword number: 7
terror: Topic: 1048, Keyword number: 8
philip: Topic: 1048, Keyword number: 9
explanation: Topic: 1048, Keyword number: 10
one_day: Topic: 1048, Keyword number: 11
nightmares_she's: Topic: 1048, Keyword number: 12
comes_squealing: Topic: 1048, Keyword number: 13
elise_tougher: Topic: 1048, Keyword number: 14
haunt_would: Topic: 1048, Keyword number: 15
system_film: Topic: 1048, Keyword number: 16
freedom_allowed: Topic: 1048, Keyword number: 17
explanation_couple: Topic: 1048, Keyword number: 18
takes_completely: Topic: 1048, Keyword number: 19
part_act: Topic: 1048, Keyword number: 20
agree_indeed: Topic: 1048, Keyword number: 21
country_agree: Topic: 1048, Keyword number: 22
year_even: Topic: 1048, Keyword number: 23
cowards_heroes: Topic: 1048, Keyword number: 24
wait: Topic: 1049, Keyword number: 0
larry: Topic: 1049, Keyword number: 1
garth: Topic: 1049, Keyword number: 2
wayne: Topic: 1049, Keyword number: 3
kahuna: Topic: 1049, Keyword number: 4
things_hate: Topic: 1049, Keyword number: 5
didn't: Topic: 1049, Keyword number: 6
humor: Topic: 1049, Keyword number: 7
steven: Topic: 1049, Keyword number: 8
coming: Topic: 1049, Keyword number: 9
girlfriend: Topic: 1049, Keyword number: 10
cold: Topic: 1049, Keyword number: 11
even_better: Topic: 1049, Keyword number: 12
sent: Topic: 1049, Keyword number: 13
oleynik: Topic: 1049, Keyword number: 14
jim_morrison: Topic: 1049, Keyword number: 15
smug: Topic: 1049, Keyword number: 16
daryl: Topic: 1049, Keyword number: 17
suggest: Topic: 1049, Keyword number: 18
spots: Topic: 1049, Keyword number: 19
liar: Topic: 1049, Keyword number: 20
karaoke: Topic: 1049, Keyword number: 21
time_saw: Topic: 1049, Keyword number: 22
jim: Topic: 1049, Keyword number: 23
friend: Topic: 1049, Keyword number: 24
pack_well: Topic: 1050, Keyword number: 0
extreme_find: Topic: 1050, Keyword number: 1
kleinfeld_tremendous: Topic: 1050, Keyword number: 2
indeed_observes: Topic: 1050, Keyword number: 3
consequently_would: Topic: 1050, Keyword number: 4
trouble: Topic: 1050, Keyword number: 5
nurses: Topic: 1050, Keyword number: 6
weeks_overdue: Topic: 1050, Keyword number: 7
change: Topic: 1050, Keyword number: 8
suggs: Topic: 1051, Keyword number: 0
mcmanus: Topic: 1051, Keyword number: 1
somewhere_middle: Topic: 1051, Keyword number: 2
short_allowing: Topic: 1051, Keyword number: 3
storytelling_may: Topic: 1051, Keyword number: 4
lambs_melvin: Topic: 1051, Keyword number: 5
aesthetic_used: Topic: 1051, Keyword number: 6
brightly: Topic: 1051, Keyword number: 7
release_guilt: Topic: 1051, Keyword number: 8
immediately_take: Topic: 1051, Keyword number: 9
christ-like_tree: Topic: 1051, Keyword number: 10
front_lawn: Topic: 1051, Keyword number: 11
newton_young: Topic: 1051, Keyword number: 12
hellish_visions: Topic: 1051, Keyword number: 13
ghost's: Topic: 1051, Keyword number: 14
sethe_arrives: Topic: 1051, Keyword number: 15
demme's_matter-of-fact: Topic: 1051, Keyword number: 16
terrorize_family: Topic: 1051, Keyword number: 17
story_sethe's: Topic: 1051, Keyword number: 18
gestate_grow: Topic: 1051, Keyword number: 19
finer: Topic: 1051, Keyword number: 20
narrative_style: Topic: 1051, Keyword number: 21
appalling: Topic: 1051, Keyword number: 22
literary: Topic: 1051, Keyword number: 23
precious_words: Topic: 1052, Keyword number: 0
chip_isn't: Topic: 1053, Keyword number: 0
one-of-a-kind: Topic: 1053, Keyword number: 1
invaluable: Topic: 1053, Keyword number: 2
pamela_hart: Topic: 1053, Keyword number: 3
isolationism_emphasized: Topic: 1053, Keyword number: 4
picture_often: Topic: 1053, Keyword number: 5
lumbering_approach: Topic: 1053, Keyword number: 6
heightened_sense: Topic: 1053, Keyword number: 7
always_ones: Topic: 1053, Keyword number: 8
pursued_two: Topic: 1053, Keyword number: 9
mathematical_reductionism: Topic: 1053, Keyword number: 10
modern_mistrust: Topic: 1053, Keyword number: 11
downs_stock: Topic: 1053, Keyword number: 12
incredibly_naive: Topic: 1053, Keyword number: 13
check_prices: Topic: 1053, Keyword number: 14
voyage_pseudo-science: Topic: 1053, Keyword number: 15
action/animation_story: Topic: 1053, Keyword number: 16
taught_anatomy: Topic: 1053, Keyword number: 17
seconds: Topic: 1053, Keyword number: 18
shatner: Topic: 1053, Keyword number: 19
mute_witness: Topic: 1054, Keyword number: 0
australia_think: Topic: 1054, Keyword number: 1
external_house: Topic: 1054, Keyword number: 2
well_lit: Topic: 1054, Keyword number: 3
corleone_family: Topic: 1056, Keyword number: 0
copolla's: Topic: 1056, Keyword number: 1
third_installment: Topic: 1056, Keyword number: 2
dies_alone: Topic: 1056, Keyword number: 3
chair_left: Topic: 1056, Keyword number: 4
alone_chair: Topic: 1056, Keyword number: 5
directed_last: Topic: 1056, Keyword number: 6
matter_powerful: Topic: 1056, Keyword number: 7
terrifying_conclusion: Topic: 1056, Keyword number: 8
keep_balance: Topic: 1056, Keyword number: 9
horrible_results: Topic: 1056, Keyword number: 10
great_importance: Topic: 1056, Keyword number: 11
could_interesting: Topic: 1056, Keyword number: 12
michael_reunited: Topic: 1056, Keyword number: 13
missed_good: Topic: 1056, Keyword number: 14
diane_keaton: Topic: 1056, Keyword number: 15
natural_suffers: Topic: 1056, Keyword number: 16
violence_natural: Topic: 1056, Keyword number: 17
loyal_violence: Topic: 1056, Keyword number: 18
powerful_sonny's: Topic: 1056, Keyword number: 19
unsurprisingly_pacino: Topic: 1056, Keyword number: 20
scenes_throughout: Topic: 1056, Keyword number: 21
manages_ruin: Topic: 1056, Keyword number: 22
height_first: Topic: 1056, Keyword number: 23
tree_dimensional: Topic: 1056, Keyword number: 24
pygmalion: Topic: 1057, Keyword number: 0
daniel: Topic: 1059, Keyword number: 0
diaz: Topic: 1059, Keyword number: 1
bachelor_party: Topic: 1059, Keyword number: 2
groom-to-be: Topic: 1059, Keyword number: 3
couldn't_help: Topic: 1059, Keyword number: 4
closet: Topic: 1059, Keyword number: 5
he's_going: Topic: 1059, Keyword number: 6
effects_reinforced: Topic: 1059, Keyword number: 7
plays_every: Topic: 1059, Keyword number: 8
kill_yeah: Topic: 1059, Keyword number: 9
safe_wide-releases: Topic: 1059, Keyword number: 10
usually_mainstream: Topic: 1059, Keyword number: 11
set_making: Topic: 1059, Keyword number: 12
filmmakers_set: Topic: 1059, Keyword number: 13
clearly_shows: Topic: 1059, Keyword number: 14
comedy_since: Topic: 1059, Keyword number: 15
tasteless_anything: Topic: 1059, Keyword number: 16
even_over-the-top: Topic: 1059, Keyword number: 17
sequence_perfect: Topic: 1059, Keyword number: 18
involving_characters: Topic: 1059, Keyword number: 19
going_happen: Topic: 1059, Keyword number: 20
surprising_thought: Topic: 1059, Keyword number: 21
level_bad: Topic: 1059, Keyword number: 22
stern's_wife: Topic: 1059, Keyword number: 23
jeanne_tripplehorn: Topic: 1059, Keyword number: 24
film: Topic: 1060, Keyword number: 0
charles: Topic: 1060, Keyword number: 1
he's: Topic: 1060, Keyword number: 2
story: Topic: 1060, Keyword number: 3
duke: Topic: 1060, Keyword number: 4
cast: Topic: 1060, Keyword number: 5
watch: Topic: 1060, Keyword number: 6
that's: Topic: 1060, Keyword number: 7
long: Topic: 1060, Keyword number: 8
audience: Topic: 1060, Keyword number: 9
simply: Topic: 1060, Keyword number: 10
however: Topic: 1060, Keyword number: 11
one: Topic: 1060, Keyword number: 12
like: Topic: 1060, Keyword number: 13
cross: Topic: 1060, Keyword number: 14
everyone: Topic: 1060, Keyword number: 15
camera: Topic: 1060, Keyword number: 16
two: Topic: 1060, Keyword number: 17
completely: Topic: 1060, Keyword number: 18
it's: Topic: 1060, Keyword number: 19
credit: Topic: 1060, Keyword number: 20
experience: Topic: 1060, Keyword number: 21
use: Topic: 1060, Keyword number: 22
rather: Topic: 1060, Keyword number: 23
screen: Topic: 1060, Keyword number: 24
entertaining_homage: Topic: 1062, Keyword number: 0
company_releasing: Topic: 1062, Keyword number: 1
desmond: Topic: 1062, Keyword number: 2
times_mark: Topic: 1062, Keyword number: 3
accents_half: Topic: 1062, Keyword number: 4
notices_film: Topic: 1062, Keyword number: 5
groove: Topic: 1062, Keyword number: 6
tings_don't: Topic: 1062, Keyword number: 7
phylida_law: Topic: 1063, Keyword number: 0
could_argued: Topic: 1063, Keyword number: 1
rickman's_microscope: Topic: 1063, Keyword number: 2
casting_real-life: Topic: 1063, Keyword number: 3
acting_strong: Topic: 1063, Keyword number: 4
robs_life: Topic: 1063, Keyword number: 5
water_unlike: Topic: 1063, Keyword number: 6
sam_douglas: Topic: 1063, Keyword number: 7
obituaries_looking: Topic: 1063, Keyword number: 8
spend_spare: Topic: 1063, Keyword number: 9
perhaps_close: Topic: 1063, Keyword number: 10
couple_old: Topic: 1063, Keyword number: 11
voe_couple: Topic: 1063, Keyword number: 12
pairings_although: Topic: 1063, Keyword number: 13
backdrop_relationships: Topic: 1063, Keyword number: 14
lives_fiction: Topic: 1063, Keyword number: 15
emotional_boundaries: Topic: 1063, Keyword number: 16
kin: Topic: 1063, Keyword number: 17
relationships_male: Topic: 1063, Keyword number: 18
conventional_narrative: Topic: 1063, Keyword number: 19
performances_truly: Topic: 1063, Keyword number: 20
things_don't: Topic: 1063, Keyword number: 21
meatiest: Topic: 1063, Keyword number: 22
stormy: Topic: 1063, Keyword number: 23
threads: Topic: 1063, Keyword number: 24
beyond: Topic: 1066, Keyword number: 0
dora: Topic: 1066, Keyword number: 1
pretty_house: Topic: 1066, Keyword number: 2
forced_powers: Topic: 1066, Keyword number: 3
one_richest: Topic: 1066, Keyword number: 4
make_exception: Topic: 1066, Keyword number: 5
suffering_notion: Topic: 1066, Keyword number: 6
deeper_psychological: Topic: 1066, Keyword number: 7
francesco_barbieri's: Topic: 1066, Keyword number: 8
minimal_lamberto: Topic: 1066, Keyword number: 9
bloodletting_surprisingly: Topic: 1066, Keyword number: 10
sufficient_depth: Topic: 1066, Keyword number: 11
wife_famed: Topic: 1066, Keyword number: 12
wooden_daria: Topic: 1066, Keyword number: 13
usually_wooden: Topic: 1066, Keyword number: 14
coaches_surprisingly: Topic: 1066, Keyword number: 15
coaches: Topic: 1066, Keyword number: 16
dialogue_somewhat: Topic: 1066, Keyword number: 17
played_uncanny: Topic: 1066, Keyword number: 18
marco_played: Topic: 1066, Keyword number: 19
befall_dora: Topic: 1066, Keyword number: 20
spirit_channels: Topic: 1066, Keyword number: 21
