turns_finale: Topic: 1, Keyword number: 0
dick_fart: Topic: 1589, Keyword number: 24
iraqi: Topic: 1592, Keyword number: 0
even_life: Topic: 1592, Keyword number: 1
primer: Topic: 1592, Keyword number: 2
offers_masses: Topic: 1592, Keyword number: 3
waters_russell: Topic: 1592, Keyword number: 4
kuwait's: Topic: 1592, Keyword number: 5
importance_would: Topic: 1592, Keyword number: 6
glimmer_hope: Topic: 1592, Keyword number: 7
vig_notwithstanding: Topic: 1592, Keyword number: 8
waited_shout: Topic: 1592, Keyword number: 9
status_arab: Topic: 1592, Keyword number: 10
surprising_climax: Topic: 1592, Keyword number: 11
case_russell's: Topic: 1592, Keyword number: 12
russell_throws: Topic: 1592, Keyword number: 13
arizona_california: Topic: 1592, Keyword number: 14
facade_three: Topic: 1592, Keyword number: 15
locations_far: Topic: 1592, Keyword number: 16
staring_screen: Topic: 1592, Keyword number: 17
debris_instead: Topic: 1592, Keyword number: 18
react_sexual: Topic: 1592, Keyword number: 19
second_flirting: Topic: 1592, Keyword number: 20
images_liked: Topic: 1592, Keyword number: 21
bear_grudges: Topic: 1592, Keyword number: 22
even_accepts: Topic: 1592, Keyword number: 23
mission_even: Topic: 1592, Keyword number: 24
ritual: Topic: 1593, Keyword number: 0
rigid: Topic: 1593, Keyword number: 1
rabbi: Topic: 1593, Keyword number: 2
talmud: Topic: 1593, Keyword number: 3
extreme: Topic: 1593, Keyword number: 4
made_choice: Topic: 1593, Keyword number: 5
things_thought: Topic: 1593, Keyword number: 6
would_everything: Topic: 1593, Keyword number: 7
outsider_would: Topic: 1593, Keyword number: 8
atop_jerusalem: Topic: 1593, Keyword number: 9
dark_life: Topic: 1593, Keyword number: 10
closing_daily: Topic: 1593, Keyword number: 11
ones_gitai: Topic: 1593, Keyword number: 12
obliterated_one's: Topic: 1593, Keyword number: 13
love_sisters: Topic: 1593, Keyword number: 14
word_gesture: Topic: 1593, Keyword number: 15
without_word: Topic: 1593, Keyword number: 16
retiring: Topic: 1593, Keyword number: 17
malka_spread: Topic: 1593, Keyword number: 18
robotically_gets: Topic: 1593, Keyword number: 19
bogus_marriage: Topic: 1593, Keyword number: 20
plans_ruin: Topic: 1593, Keyword number: 21
options_rivka: Topic: 1593, Keyword number: 22
discuss_options: Topic: 1593, Keyword number: 23
two_sisters: Topic: 1593, Keyword number: 24
unfairly_dismissed: Topic: 1597, Keyword number: 0
laughing_movie: Topic: 1599, Keyword number: 0
kid_attitude: Topic: 1599, Keyword number: 1
offensive_mean-spirited: Topic: 1599, Keyword number: 2
instructed_man: Topic: 1602, Keyword number: 0
preternatural: Topic: 1602, Keyword number: 1
water_perhaps: Topic: 1602, Keyword number: 2
car_wreck: Topic: 1602, Keyword number: 3
cell: Topic: 1602, Keyword number: 4
macdowell_makes: Topic: 1605, Keyword number: 0
etc_simple: Topic: 1608, Keyword number: 0
breaking_leg: Topic: 1608, Keyword number: 1
flashes_insight: Topic: 1608, Keyword number: 2
movie_sustains: Topic: 1608, Keyword number: 3
people_stop: Topic: 1608, Keyword number: 4
twitch: Topic: 1608, Keyword number: 5
demolishes: Topic: 1608, Keyword number: 6
sculpture: Topic: 1608, Keyword number: 7
decaying: Topic: 1608, Keyword number: 8
next_sidesplitting: Topic: 1608, Keyword number: 9
lawyer_lying: Topic: 1608, Keyword number: 10
set-pieces: Topic: 1608, Keyword number: 11
microcosm_setup: Topic: 1608, Keyword number: 12
preconceptions_humor: Topic: 1608, Keyword number: 13
creatures_underworld: Topic: 1608, Keyword number: 14
eloi_people: Topic: 1608, Keyword number: 15
years_three: Topic: 1608, Keyword number: 16
what's_worse: Topic: 1608, Keyword number: 17
using_set: Topic: 1608, Keyword number: 18
biting: Topic: 1608, Keyword number: 19
whole_movie: Topic: 1608, Keyword number: 20
lets_keep: Topic: 1608, Keyword number: 21
excellent_cast: Topic: 1608, Keyword number: 22
army_rip: Topic: 1608, Keyword number: 23
who'd: Topic: 1608, Keyword number: 24
lindsay: Topic: 1609, Keyword number: 0
navy_divers: Topic: 1609, Keyword number: 1
horse_opera: Topic: 1609, Keyword number: 2
wilson_last: Topic: 1609, Keyword number: 3
train_jackie: Topic: 1609, Keyword number: 4
remain_grating: Topic: 1609, Keyword number: 5
underwater_thriller: Topic: 1609, Keyword number: 6
footage_that's: Topic: 1609, Keyword number: 7
additional_footage: Topic: 1609, Keyword number: 8
power_world: Topic: 1609, Keyword number: 9
major_respects: Topic: 1609, Keyword number: 10
stunts_hardware: Topic: 1609, Keyword number: 11
hardware: Topic: 1609, Keyword number: 12
trigger-happy_increasingly: Topic: 1609, Keyword number: 13
rig_trigger-happy: Topic: 1609, Keyword number: 14
ships_increasingly: Topic: 1609, Keyword number: 15
around_cuba: Topic: 1609, Keyword number: 16
hurricane_brewing: Topic: 1609, Keyword number: 17
three_navy: Topic: 1609, Keyword number: 18
dive_part-way: Topic: 1609, Keyword number: 19
nuclear_submarine: Topic: 1609, Keyword number: 20
investigating_mysterious: Topic: 1609, Keyword number: 21
bud_harris: Topic: 1609, Keyword number: 22
underwater_mobile: Topic: 1609, Keyword number: 23
revamped_state: Topic: 1609, Keyword number: 24
film: Topic: 1610, Keyword number: 0
one: Topic: 1610, Keyword number: 1
movie: Topic: 1610, Keyword number: 2
also: Topic: 1610, Keyword number: 3
i'm: Topic: 1610, Keyword number: 4
time: Topic: 1610, Keyword number: 5
love: Topic: 1610, Keyword number: 6
city: Topic: 1610, Keyword number: 7
world: Topic: 1610, Keyword number: 8
much: Topic: 1610, Keyword number: 9
help: Topic: 1610, Keyword number: 10
dark: Topic: 1610, Keyword number: 11
good: Topic: 1610, Keyword number: 12
little: Topic: 1610, Keyword number: 13
day: Topic: 1610, Keyword number: 14
something: Topic: 1610, Keyword number: 15
every: Topic: 1610, Keyword number: 16
enough: Topic: 1610, Keyword number: 17
get: Topic: 1610, Keyword number: 18
couple: Topic: 1610, Keyword number: 19
ends: Topic: 1610, Keyword number: 20
always: Topic: 1610, Keyword number: 21
watching: Topic: 1610, Keyword number: 22
role: Topic: 1610, Keyword number: 23
first: Topic: 1610, Keyword number: 24
girls: Topic: 1611, Keyword number: 0
film: Topic: 1611, Keyword number: 1
two: Topic: 1611, Keyword number: 2
killer: Topic: 1611, Keyword number: 3
best: Topic: 1611, Keyword number: 4
always: Topic: 1611, Keyword number: 5
however: Topic: 1611, Keyword number: 6
act: Topic: 1611, Keyword number: 7
role: Topic: 1611, Keyword number: 8
serial: Topic: 1611, Keyword number: 9
hollywood: Topic: 1611, Keyword number: 10
shows: Topic: 1611, Keyword number: 11
much: Topic: 1611, Keyword number: 12
serial_killer: Topic: 1611, Keyword number: 13
shot: Topic: 1611, Keyword number: 14
something: Topic: 1611, Keyword number: 15
downey: Topic: 1611, Keyword number: 16
unfortunately: Topic: 1611, Keyword number: 17
actor: Topic: 1611, Keyword number: 18
begins: Topic: 1611, Keyword number: 19
stars: Topic: 1611, Keyword number: 20
story: Topic: 1611, Keyword number: 21
love: Topic: 1611, Keyword number: 22
isn't: Topic: 1611, Keyword number: 23
don't: Topic: 1611, Keyword number: 24
dafoe: Topic: 1616, Keyword number: 0
questions_unanswered: Topic: 1616, Keyword number: 1
surroundings_moral: Topic: 1616, Keyword number: 2
classical_good: Topic: 1616, Keyword number: 3
egotistical_view: Topic: 1616, Keyword number: 4
novel_later: Topic: 1616, Keyword number: 5
anyway_like: Topic: 1616, Keyword number: 6
money_robbing: Topic: 1616, Keyword number: 7
ex-convict_used: Topic: 1616, Keyword number: 8
friedkin's_live: Topic: 1616, Keyword number: 9
thing_matters: Topic: 1616, Keyword number: 10
cruel_materialistic: Topic: 1616, Keyword number: 11
ones_happens: Topic: 1616, Keyword number: 12
egotistical: Topic: 1616, Keyword number: 13
socially_acceptable: Topic: 1616, Keyword number: 14
characters_portrayed: Topic: 1616, Keyword number: 15
made_famous: Topic: 1616, Keyword number: 16
artistic: Topic: 1616, Keyword number: 17
derek: Topic: 1618, Keyword number: 0
keanu_reeves: Topic: 1618, Keyword number: 1
taylor: Topic: 1618, Keyword number: 2
sci-fi: Topic: 1618, Keyword number: 3
he's: Topic: 1618, Keyword number: 4
there's: Topic: 1618, Keyword number: 5
cynicism: Topic: 1618, Keyword number: 6
moss: Topic: 1618, Keyword number: 7
harsh: Topic: 1618, Keyword number: 8
directed: Topic: 1618, Keyword number: 9
fight: Topic: 1618, Keyword number: 10
time: Topic: 1618, Keyword number: 11
gross_lack: Topic: 1618, Keyword number: 12
welcome_trying: Topic: 1618, Keyword number: 13
humor_welcome: Topic: 1618, Keyword number: 14
screwball_humor: Topic: 1618, Keyword number: 15
pining_cynicism: Topic: 1618, Keyword number: 16
jane_hasn't: Topic: 1618, Keyword number: 17
unbelievable_dowdy: Topic: 1618, Keyword number: 18
dowdy: Topic: 1618, Keyword number: 19
movies_making: Topic: 1618, Keyword number: 20
seeing_marcia: Topic: 1618, Keyword number: 21
league_maybe: Topic: 1618, Keyword number: 22
plays_uproarious: Topic: 1618, Keyword number: 23
gag_he's: Topic: 1618, Keyword number: 24
rush: Topic: 1619, Keyword number: 0
fine_drunken: Topic: 1619, Keyword number: 1
real_treat: Topic: 1619, Keyword number: 2
terrific_fight: Topic: 1619, Keyword number: 3
energetic_chan: Topic: 1619, Keyword number: 4
office_big: Topic: 1619, Keyword number: 5
kidnapping_chinese: Topic: 1619, Keyword number: 6
thing_eddie: Topic: 1619, Keyword number: 7
absolutely_hilarious: Topic: 1619, Keyword number: 8
upset: Topic: 1619, Keyword number: 9
understand: Topic: 1620, Keyword number: 0
like: Topic: 1622, Keyword number: 0
private_detective: Topic: 1622, Keyword number: 1
action_rest: Topic: 1622, Keyword number: 2
western_stewart: Topic: 1622, Keyword number: 3
naked_spur: Topic: 1622, Keyword number: 4
celia_imrie: Topic: 1622, Keyword number: 5
nature_give: Topic: 1622, Keyword number: 6
you're_prepared: Topic: 1622, Keyword number: 7
oftentimes: Topic: 1622, Keyword number: 8
certainly_faint: Topic: 1622, Keyword number: 9
provoke_suspense: Topic: 1622, Keyword number: 10
action_entire: Topic: 1622, Keyword number: 11
support_action: Topic: 1622, Keyword number: 12
calls_victim's: Topic: 1622, Keyword number: 13
leaves_building: Topic: 1622, Keyword number: 14
kill_leaves: Topic: 1622, Keyword number: 15
time_struggles: Topic: 1622, Keyword number: 16
brutally_beats: Topic: 1622, Keyword number: 17
crazed_welles: Topic: 1622, Keyword number: 18
investigated_room: Topic: 1622, Keyword number: 19
fbi_mother: Topic: 1622, Keyword number: 20
clues_welles: Topic: 1622, Keyword number: 21
physically_disgusted: Topic: 1622, Keyword number: 22
get_physically: Topic: 1622, Keyword number: 23
hardened: Topic: 1622, Keyword number: 24
watch_reviewed: Topic: 1623, Keyword number: 0
halloween_scared: Topic: 1623, Keyword number: 1
dvd_edition: Topic: 1623, Keyword number: 2
hope_someday: Topic: 1623, Keyword number: 3
time_lives: Topic: 1623, Keyword number: 4
doctor_sam: Topic: 1623, Keyword number: 5
illinois_followed: Topic: 1623, Keyword number: 6
evil_person: Topic: 1623, Keyword number: 7
describe_dvd: Topic: 1623, Keyword number: 8
offensive_ways: Topic: 1623, Keyword number: 9
sequels_truly: Topic: 1623, Keyword number: 10
spawned_six: Topic: 1623, Keyword number: 11
time_scared: Topic: 1623, Keyword number: 12
always_famous: Topic: 1623, Keyword number: 13
carpenter_mind: Topic: 1623, Keyword number: 14
know_going: Topic: 1623, Keyword number: 15
something_new: Topic: 1623, Keyword number: 16
imitations: Topic: 1623, Keyword number: 17
directed_film: Topic: 1623, Keyword number: 18
film_produced: Topic: 1623, Keyword number: 19
brilliance: Topic: 1623, Keyword number: 20
reviewed: Topic: 1623, Keyword number: 21
scares: Topic: 1623, Keyword number: 22
got_assigned: Topic: 1624, Keyword number: 0
words_got: Topic: 1624, Keyword number: 1
hungarian: Topic: 1624, Keyword number: 2
world_almanac: Topic: 1624, Keyword number: 3
possible_date: Topic: 1624, Keyword number: 4
centers_dialog: Topic: 1624, Keyword number: 5
cut_visually: Topic: 1624, Keyword number: 6
given_clues: Topic: 1624, Keyword number: 7
audience_believe: Topic: 1624, Keyword number: 8
interviewees_especially: Topic: 1624, Keyword number: 9
responses_getting: Topic: 1624, Keyword number: 10
nazis_opposed: Topic: 1624, Keyword number: 11
criminally_supported: Topic: 1624, Keyword number: 12
fortunes_jewish: Topic: 1624, Keyword number: 13
crimes_humanity: Topic: 1624, Keyword number: 14
reich: Topic: 1624, Keyword number: 15
limited: Topic: 1624, Keyword number: 16
interpretation: Topic: 1624, Keyword number: 17
interview: Topic: 1624, Keyword number: 18
best_films: Topic: 1624, Keyword number: 19
may: Topic: 1624, Keyword number: 20
placed_booth: Topic: 1625, Keyword number: 0
characteristic_best: Topic: 1625, Keyword number: 1
coincidence: Topic: 1625, Keyword number: 2
floor: Topic: 1626, Keyword number: 0
absolutely_nowhere: Topic: 1626, Keyword number: 1
craig_bierko: Topic: 1626, Keyword number: 2
mueller-stahl: Topic: 1626, Keyword number: 3
electronic_devices: Topic: 1626, Keyword number: 4
game_thirteenth: Topic: 1626, Keyword number: 5
devices: Topic: 1626, Keyword number: 6
fans_somewhat: Topic: 1626, Keyword number: 7
that's_everybody: Topic: 1626, Keyword number: 8
minutes_we've: Topic: 1626, Keyword number: 9
scalawags_stay: Topic: 1626, Keyword number: 10
kelly_part: Topic: 1626, Keyword number: 11
gives_taste: Topic: 1626, Keyword number: 12
unmentioned_review: Topic: 1626, Keyword number: 13
several_surprises: Topic: 1626, Keyword number: 14
filled_breathtaking: Topic: 1626, Keyword number: 15
touches_film: Topic: 1626, Keyword number: 16
interesting_even: Topic: 1626, Keyword number: 17
hope_last: Topic: 1626, Keyword number: 18
scrambling: Topic: 1626, Keyword number: 19
spills_aren't: Topic: 1626, Keyword number: 20
awhile_shuts: Topic: 1626, Keyword number: 21
film_messes: Topic: 1626, Keyword number: 22
existenz_come: Topic: 1626, Keyword number: 23
mol's_realistic: Topic: 1626, Keyword number: 24
path_stray: Topic: 1628, Keyword number: 0
goes_leave: Topic: 1628, Keyword number: 1
think_represent: Topic: 1628, Keyword number: 2
women_wolves: Topic: 1628, Keyword number: 3
nights_quiet: Topic: 1628, Keyword number: 4
sunshine_exceptionally: Topic: 1628, Keyword number: 5
laughable_jordan: Topic: 1628, Keyword number: 6
bad_horror: Topic: 1628, Keyword number: 7
simultaneously_going: Topic: 1628, Keyword number: 8
bond_series: Topic: 1629, Keyword number: 0
desmond_llewelyn: Topic: 1629, Keyword number: 1
worked_well: Topic: 1629, Keyword number: 2
china: Topic: 1629, Keyword number: 3
one_best: Topic: 1629, Keyword number: 4
here's_looking: Topic: 1629, Keyword number: 5
say_desmond: Topic: 1629, Keyword number: 6
somewhat_pompous: Topic: 1629, Keyword number: 7
producers_introduced: Topic: 1629, Keyword number: 8
appearance_llewelyn: Topic: 1629, Keyword number: 9
deep_characterizations: Topic: 1629, Keyword number: 10
never_worked: Topic: 1629, Keyword number: 11
technical_lines: Topic: 1629, Keyword number: 12
see_outfits: Topic: 1629, Keyword number: 13
actress_ever: Topic: 1629, Keyword number: 14
leads_stealing: Topic: 1629, Keyword number: 15
nifty_gadgets: Topic: 1629, Keyword number: 16
distinct_feeling: Topic: 1629, Keyword number: 17
biggest_complaint: Topic: 1629, Keyword number: 18
valentin_zukovsky: Topic: 1629, Keyword number: 19
zukovsky: Topic: 1629, Keyword number: 20
recent_victims: Topic: 1629, Keyword number: 21
renard_like: Topic: 1629, Keyword number: 22
brain_makes: Topic: 1629, Keyword number: 23
almost_seemed: Topic: 1629, Keyword number: 24
clinton_confidently: Topic: 1630, Keyword number: 0
thin_line: Topic: 1630, Keyword number: 1
autumnal: Topic: 1633, Keyword number: 0
we're_connecting: Topic: 1633, Keyword number: 1
thrown_turmoil: Topic: 1633, Keyword number: 2
myers_new: Topic: 1633, Keyword number: 3
loved_one: Topic: 1633, Keyword number: 4
news_broadcaster: Topic: 1633, Keyword number: 5
job_well-cast: Topic: 1633, Keyword number: 6
formulaic_disaster: Topic: 1633, Keyword number: 7
challenge_numerous: Topic: 1633, Keyword number: 8
life_planet: Topic: 1633, Keyword number: 9
dimension: Topic: 1633, Keyword number: 10
mimi_leder: Topic: 1633, Keyword number: 11
context: Topic: 1633, Keyword number: 12
charity: Topic: 1633, Keyword number: 13
dances--an: Topic: 1636, Keyword number: 0
critics: Topic: 1636, Keyword number: 1
delivering: Topic: 1641, Keyword number: 0
school_girls: Topic: 1641, Keyword number: 1
pretty_original: Topic: 1641, Keyword number: 2
starts_well: Topic: 1641, Keyword number: 3
various_mathematical: Topic: 1641, Keyword number: 4
gus: Topic: 1641, Keyword number: 5
cindy: Topic: 1642, Keyword number: 0
effect_conceit: Topic: 1642, Keyword number: 1
scenes_appear: Topic: 1642, Keyword number: 2
isaac: Topic: 1642, Keyword number: 3
spirit: Topic: 1642, Keyword number: 4
mullen: Topic: 1644, Keyword number: 0
gibson: Topic: 1644, Keyword number: 1
sinise: Topic: 1644, Keyword number: 2
lindo: Topic: 1644, Keyword number: 3
large_coke: Topic: 1644, Keyword number: 4
forget_large: Topic: 1644, Keyword number: 5
one_forget: Topic: 1644, Keyword number: 6
around_ignore: Topic: 1644, Keyword number: 7
build_story: Topic: 1644, Keyword number: 8
space_build: Topic: 1644, Keyword number: 9
nolte_sean: Topic: 1644, Keyword number: 10
adequate_brawley: Topic: 1644, Keyword number: 11
moments_occasionally: Topic: 1644, Keyword number: 12
russo_several: Topic: 1644, Keyword number: 13
tacked_rather: Topic: 1644, Keyword number: 14
seems_tacked: Topic: 1644, Keyword number: 15
upending_emotionally: Topic: 1644, Keyword number: 16
shoot_upending: Topic: 1644, Keyword number: 17
apart_seen: Topic: 1644, Keyword number: 18
filmed_representations: Topic: 1644, Keyword number: 19
representations: Topic: 1644, Keyword number: 20
best_filmed: Topic: 1644, Keyword number: 21
mullen_feeding: Topic: 1644, Keyword number: 22
fate_sean: Topic: 1644, Keyword number: 23
ultimate_fate: Topic: 1644, Keyword number: 24
havilland_playing: Topic: 1647, Keyword number: 0
tornadoes: Topic: 1649, Keyword number: 0
theatre_please: Topic: 1649, Keyword number: 1
reside_people: Topic: 1649, Keyword number: 2
visual_abiility: Topic: 1649, Keyword number: 3
bill_part: Topic: 1649, Keyword number: 4
jonas_well-off: Topic: 1649, Keyword number: 5
really_anything: Topic: 1649, Keyword number: 6
vehicles_jonas's: Topic: 1649, Keyword number: 7
function_add: Topic: 1649, Keyword number: 8
practically_unpredictable: Topic: 1649, Keyword number: 9
early-warning_system: Topic: 1649, Keyword number: 10
toting_around: Topic: 1649, Keyword number: 11
melissa_jamie: Topic: 1649, Keyword number: 12
returns_settle: Topic: 1649, Keyword number: 13
satellite_recon: Topic: 1649, Keyword number: 14
mother-of-all-storms_predicted: Topic: 1649, Keyword number: 15
chasing_tornadoes: Topic: 1649, Keyword number: 16
data_twister-occurrences: Topic: 1649, Keyword number: 17
fully_appreciate: Topic: 1649, Keyword number: 18
industrial_light: Topic: 1649, Keyword number: 19
potent_stuff: Topic: 1649, Keyword number: 20
delightful_particularly: Topic: 1651, Keyword number: 0
dislike_species: Topic: 1652, Keyword number: 0
caught_guard: Topic: 1652, Keyword number: 1
deteriorates: Topic: 1654, Keyword number: 0
way_captures: Topic: 1654, Keyword number: 1
man_suddenly: Topic: 1654, Keyword number: 2
church_white: Topic: 1654, Keyword number: 3
flies_dust: Topic: 1654, Keyword number: 4
like_heat: Topic: 1654, Keyword number: 5
bit_including: Topic: 1654, Keyword number: 6
aboriginals_handful: Topic: 1654, Keyword number: 7
male_prisoners: Topic: 1654, Keyword number: 8
visited: Topic: 1654, Keyword number: 9
dust: Topic: 1654, Keyword number: 10
appears: Topic: 1654, Keyword number: 11
even_today: Topic: 1654, Keyword number: 12
self-preserving_interest: Topic: 1655, Keyword number: 0
benny_joon: Topic: 1657, Keyword number: 0
blankness_simply: Topic: 1657, Keyword number: 1
gilbert_playing: Topic: 1657, Keyword number: 2
life_bitterness: Topic: 1657, Keyword number: 3
involved_creation: Topic: 1657, Keyword number: 4
attended_entire: Topic: 1657, Keyword number: 5
mary_steenburgen's: Topic: 1657, Keyword number: 6
realizes_longer: Topic: 1657, Keyword number: 7
gilbert_begins: Topic: 1657, Keyword number: 8
passing_grandmother: Topic: 1657, Keyword number: 9
arrival_endora: Topic: 1657, Keyword number: 10
mother_darlene: Topic: 1657, Keyword number: 11
manner_many: Topic: 1657, Keyword number: 12
colliding_responsibility: Topic: 1657, Keyword number: 13
backed_outstanding: Topic: 1657, Keyword number: 14
young_homosexual: Topic: 1657, Keyword number: 15
stay_rest: Topic: 1657, Keyword number: 16
unsatisfying: Topic: 1657, Keyword number: 17
time_place: Topic: 1657, Keyword number: 18
cement: Topic: 1657, Keyword number: 19
he's: Topic: 1658, Keyword number: 0
possible: Topic: 1658, Keyword number: 1
stares: Topic: 1658, Keyword number: 2
dante's_peak: Topic: 1658, Keyword number: 3
stone's: Topic: 1658, Keyword number: 4
concerned: Topic: 1658, Keyword number: 5
twister: Topic: 1658, Keyword number: 6
grace: Topic: 1658, Keyword number: 7
ironic: Topic: 1658, Keyword number: 8
might_gone: Topic: 1658, Keyword number: 9
face: Topic: 1658, Keyword number: 10
you're: Topic: 1658, Keyword number: 11
tug-of-war: Topic: 1658, Keyword number: 12
sneaking_smoke: Topic: 1658, Keyword number: 13
volleyball_sneaking: Topic: 1658, Keyword number: 14
parents_farcical: Topic: 1658, Keyword number: 15
well-meaning_beau: Topic: 1658, Keyword number: 16
champagne_uncorking: Topic: 1658, Keyword number: 17
embarrass_humiliate: Topic: 1658, Keyword number: 18
invincibility_it's: Topic: 1658, Keyword number: 19
deniro_squint: Topic: 1658, Keyword number: 20
simple_prayer: Topic: 1658, Keyword number: 21
you're_good: Topic: 1658, Keyword number: 22
asks_say: Topic: 1658, Keyword number: 23
it's_desire: Topic: 1658, Keyword number: 24
caffeinated: Topic: 1659, Keyword number: 0
ebert_gave: Topic: 1659, Keyword number: 1
winnable: Topic: 1659, Keyword number: 2
commands_bombers: Topic: 1659, Keyword number: 3
sad: Topic: 1659, Keyword number: 4
cuban: Topic: 1659, Keyword number: 5
much_less: Topic: 1659, Keyword number: 6
show: Topic: 1663, Keyword number: 0
began: Topic: 1663, Keyword number: 1
television: Topic: 1663, Keyword number: 2
answers: Topic: 1663, Keyword number: 3
david: Topic: 1663, Keyword number: 4
contestant: Topic: 1663, Keyword number: 5
someone: Topic: 1663, Keyword number: 6
events_inspired: Topic: 1663, Keyword number: 7
also_precise: Topic: 1663, Keyword number: 8
involved_quiz: Topic: 1663, Keyword number: 9
yields_shocking: Topic: 1663, Keyword number: 10
find_wrongdoings: Topic: 1663, Keyword number: 11
decided_start: Topic: 1663, Keyword number: 12
morrow_harvard: Topic: 1663, Keyword number: 13
meanwhile_dick: Topic: 1663, Keyword number: 14
stempel_loses: Topic: 1663, Keyword number: 15
order_lose: Topic: 1663, Keyword number: 16
give_wrong: Topic: 1663, Keyword number: 17
enright's_assistant: Topic: 1663, Keyword number: 18
enright's: Topic: 1663, Keyword number: 19
tac_dough: Topic: 1663, Keyword number: 20
widely_recognized: Topic: 1663, Keyword number: 21
jewish_guy: Topic: 1663, Keyword number: 22
enright_david: Topic: 1663, Keyword number: 23
thing_television: Topic: 1663, Keyword number: 24
sometimes_succumbs: Topic: 1666, Keyword number: 0
carried_away: Topic: 1666, Keyword number: 1
seems_get: Topic: 1666, Keyword number: 2
passion_one's: Topic: 1666, Keyword number: 3
serene: Topic: 1666, Keyword number: 4
control_able: Topic: 1666, Keyword number: 5
zombies_stratosphere: Topic: 1666, Keyword number: 6
starred_serials: Topic: 1666, Keyword number: 7
around_one: Topic: 1666, Keyword number: 8
reportage_highest: Topic: 1666, Keyword number: 9
appropriate: Topic: 1666, Keyword number: 10
criticized: Topic: 1666, Keyword number: 11
narrative: Topic: 1666, Keyword number: 12
yet: Topic: 1666, Keyword number: 13
personal: Topic: 1666, Keyword number: 14
october: Topic: 1673, Keyword number: 0
school: Topic: 1673, Keyword number: 1
high: Topic: 1673, Keyword number: 2
high_school: Topic: 1673, Keyword number: 3
gugino: Topic: 1673, Keyword number: 4
hard: Topic: 1673, Keyword number: 5
also: Topic: 1673, Keyword number: 6
never_kissed: Topic: 1673, Keyword number: 7
prom: Topic: 1673, Keyword number: 8
submarine: Topic: 1673, Keyword number: 9
neil: Topic: 1673, Keyword number: 10
person: Topic: 1673, Keyword number: 11
gugino's: Topic: 1673, Keyword number: 12
waiting_right: Topic: 1673, Keyword number: 13
pauly_shore: Topic: 1673, Keyword number: 14
carla_gugino: Topic: 1673, Keyword number: 15
carla: Topic: 1673, Keyword number: 16
rousing: Topic: 1673, Keyword number: 17
sean_connery: Topic: 1673, Keyword number: 18
james: Topic: 1673, Keyword number: 19
alec: Topic: 1673, Keyword number: 20
gone: Topic: 1673, Keyword number: 21
films: Topic: 1673, Keyword number: 22
corny_young: Topic: 1673, Keyword number: 23
get_corny: Topic: 1673, Keyword number: 24
gradual_death: Topic: 1674, Keyword number: 0
eight_taels: Topic: 1677, Keyword number: 0
leuchter: Topic: 1677, Keyword number: 1
syndrome: Topic: 1677, Keyword number: 2
stendhal_syndrome: Topic: 1677, Keyword number: 3
films: Topic: 1677, Keyword number: 4
increasingly: Topic: 1677, Keyword number: 5
excellent: Topic: 1677, Keyword number: 6
thomas: Topic: 1677, Keyword number: 7
challenge: Topic: 1677, Keyword number: 8
killer: Topic: 1677, Keyword number: 9
fireworks_exploding: Topic: 1677, Keyword number: 10
revisionist_historian: Topic: 1677, Keyword number: 11
execution_equipment: Topic: 1677, Keyword number: 12
revisionist: Topic: 1677, Keyword number: 13
hung: Topic: 1677, Keyword number: 14
historian: Topic: 1677, Keyword number: 15
web: Topic: 1677, Keyword number: 16
little_film: Topic: 1677, Keyword number: 17
italy: Topic: 1677, Keyword number: 18
gallery: Topic: 1677, Keyword number: 19
kretschmann: Topic: 1677, Keyword number: 20
anna: Topic: 1677, Keyword number: 21
haunting: Topic: 1677, Keyword number: 22
designing: Topic: 1677, Keyword number: 23
aspect: Topic: 1677, Keyword number: 24
hedwig: Topic: 1680, Keyword number: 0
mitchell: Topic: 1680, Keyword number: 1
trask: Topic: 1680, Keyword number: 2
john_cameron: Topic: 1680, Keyword number: 3
stephen_trask: Topic: 1680, Keyword number: 4
stephen: Topic: 1680, Keyword number: 5
rock_musical: Topic: 1680, Keyword number: 6
stars_hedwig: Topic: 1680, Keyword number: 7
funny_touching: Topic: 1680, Keyword number: 8
surrounds_weird: Topic: 1680, Keyword number: 9
string_dandy: Topic: 1680, Keyword number: 10
rat_artist: Topic: 1680, Keyword number: 11
little_rat: Topic: 1680, Keyword number: 12
welcome_presence: Topic: 1680, Keyword number: 13
attractive_man: Topic: 1680, Keyword number: 14
bandmate_conveying: Topic: 1680, Keyword number: 15
bandmate: Topic: 1680, Keyword number: 16
songs_over-processed: Topic: 1680, Keyword number: 17
another_trust: Topic: 1680, Keyword number: 18
match_even: Topic: 1680, Keyword number: 19
style_vocal: Topic: 1680, Keyword number: 20
human_mitchell: Topic: 1680, Keyword number: 21
shop_tour: Topic: 1680, Keyword number: 22
continue_coffee: Topic: 1680, Keyword number: 23
labeled_stalker: Topic: 1680, Keyword number: 24
apes: Topic: 1681, Keyword number: 0
speak_english: Topic: 1681, Keyword number: 1
surrounded_apes: Topic: 1681, Keyword number: 2
mad_house: Topic: 1681, Keyword number: 3
cannot_believe: Topic: 1681, Keyword number: 4
original_cannot: Topic: 1681, Keyword number: 5
cool_premise: Topic: 1681, Keyword number: 6
female_humans: Topic: 1681, Keyword number: 7
unless_look: Topic: 1681, Keyword number: 8
apes_film: Topic: 1681, Keyword number: 9
look_especially: Topic: 1681, Keyword number: 10
