egypt: Topic: 0, Keyword number: 0
type: Topic: 583, Keyword number: 13
together: Topic: 583, Keyword number: 14
heard: Topic: 583, Keyword number: 15
john: Topic: 583, Keyword number: 16
potential: Topic: 583, Keyword number: 17
accent: Topic: 583, Keyword number: 18
named: Topic: 583, Keyword number: 19
that's: Topic: 583, Keyword number: 20
detail: Topic: 583, Keyword number: 21
experience: Topic: 583, Keyword number: 22
script: Topic: 583, Keyword number: 23
simply: Topic: 583, Keyword number: 24
anything_actually: Topic: 584, Keyword number: 0
give_job: Topic: 584, Keyword number: 1
showing_three: Topic: 587, Keyword number: 0
film: Topic: 589, Keyword number: 0
one: Topic: 589, Keyword number: 1
would: Topic: 589, Keyword number: 2
good: Topic: 589, Keyword number: 3
story: Topic: 589, Keyword number: 4
films: Topic: 589, Keyword number: 5
see: Topic: 589, Keyword number: 6
time: Topic: 589, Keyword number: 7
know: Topic: 589, Keyword number: 8
well: Topic: 589, Keyword number: 9
troopers: Topic: 589, Keyword number: 10
characters: Topic: 589, Keyword number: 11
much: Topic: 589, Keyword number: 12
effects: Topic: 589, Keyword number: 13
never: Topic: 589, Keyword number: 14
may: Topic: 589, Keyword number: 15
movies: Topic: 589, Keyword number: 16
director: Topic: 589, Keyword number: 17
could: Topic: 589, Keyword number: 18
another: Topic: 589, Keyword number: 19
horror: Topic: 589, Keyword number: 20
action: Topic: 589, Keyword number: 21
year: Topic: 589, Keyword number: 22
way: Topic: 589, Keyword number: 23
titanic: Topic: 589, Keyword number: 24
screen_suspense: Topic: 590, Keyword number: 0
star_show: Topic: 590, Keyword number: 1
simple_yet: Topic: 590, Keyword number: 2
amercian: Topic: 591, Keyword number: 0
fascinated_infra-red: Topic: 591, Keyword number: 1
television_completely: Topic: 591, Keyword number: 2
inevitably_become: Topic: 591, Keyword number: 3
oblivious_fact: Topic: 591, Keyword number: 4
two_sinister: Topic: 591, Keyword number: 5
yes_real: Topic: 591, Keyword number: 6
butt-head_yes: Topic: 591, Keyword number: 7
watch_beavis: Topic: 591, Keyword number: 8
seen_television: Topic: 591, Keyword number: 9
tries_use: Topic: 591, Keyword number: 10
realise: Topic: 591, Keyword number: 11
remarks: Topic: 591, Keyword number: 12
work_attract: Topic: 593, Keyword number: 0
sarris: Topic: 594, Keyword number: 0
counterprogramming: Topic: 594, Keyword number: 1
menial_task: Topic: 594, Keyword number: 2
core_like: Topic: 594, Keyword number: 3
cry_help: Topic: 594, Keyword number: 4
utter_respect: Topic: 594, Keyword number: 5
subject_utter: Topic: 594, Keyword number: 6
quest_treats: Topic: 594, Keyword number: 7
hand_everything: Topic: 594, Keyword number: 8
cliches_fans: Topic: 594, Keyword number: 9
fast_transporters: Topic: 594, Keyword number: 10
manner_believes: Topic: 594, Keyword number: 11
thinks_elaborate: Topic: 594, Keyword number: 12
away_spaceship: Topic: 594, Keyword number: 13
thermians_whisk: Topic: 594, Keyword number: 14
quest_followers: Topic: 594, Keyword number: 15
shall_avenged: Topic: 594, Keyword number: 16
cheesy_trademark: Topic: 594, Keyword number: 17
job_stubbornly: Topic: 594, Keyword number: 18
quest_costumes: Topic: 594, Keyword number: 19
show's_cancelled: Topic: 594, Keyword number: 20
brooks's_spaceballs: Topic: 594, Keyword number: 21
hell_movie: Topic: 594, Keyword number: 22
sergeant: Topic: 594, Keyword number: 23
stay_fight: Topic: 594, Keyword number: 24
mib: Topic: 595, Keyword number: 0
blair: Topic: 595, Keyword number: 1
earth: Topic: 595, Keyword number: 2
jones: Topic: 595, Keyword number: 3
men: Topic: 595, Keyword number: 4
edwards: Topic: 595, Keyword number: 5
introduced: Topic: 595, Keyword number: 6
agent_kay: Topic: 595, Keyword number: 7
organization: Topic: 595, Keyword number: 8
lee_jones: Topic: 595, Keyword number: 9
kay: Topic: 595, Keyword number: 10
blair_witch: Topic: 595, Keyword number: 11
sonnenfeld: Topic: 595, Keyword number: 12
mib_agents: Topic: 595, Keyword number: 13
three-star: Topic: 595, Keyword number: 14
onto_screen: Topic: 595, Keyword number: 15
bug: Topic: 595, Keyword number: 16
smart: Topic: 595, Keyword number: 17
kind: Topic: 595, Keyword number: 18
onto: Topic: 595, Keyword number: 19
color_world: Topic: 595, Keyword number: 20
protect_color: Topic: 595, Keyword number: 21
black_protect: Topic: 595, Keyword number: 22
let_men: Topic: 595, Keyword number: 23
wows_let: Topic: 595, Keyword number: 24
moments_it's: Topic: 598, Keyword number: 0
accident_louisa's: Topic: 598, Keyword number: 1
louisa_rya: Topic: 598, Keyword number: 2
mouse_voiced: Topic: 598, Keyword number: 3
best_moments: Topic: 598, Keyword number: 4
world: Topic: 600, Keyword number: 0
toy: Topic: 600, Keyword number: 1
fbi: Topic: 600, Keyword number: 2
questions: Topic: 600, Keyword number: 3
wide_shut: Topic: 600, Keyword number: 4
chases: Topic: 600, Keyword number: 5
fantasy: Topic: 600, Keyword number: 6
twist: Topic: 600, Keyword number: 7
cruise: Topic: 600, Keyword number: 8
neo: Topic: 600, Keyword number: 9
beginning: Topic: 600, Keyword number: 10
given: Topic: 600, Keyword number: 11
cold_war: Topic: 600, Keyword number: 12
leaves: Topic: 600, Keyword number: 13
several: Topic: 600, Keyword number: 14
actually: Topic: 600, Keyword number: 15
lasseter: Topic: 600, Keyword number: 16
avoid: Topic: 600, Keyword number: 17
endlessly: Topic: 600, Keyword number: 18
powers: Topic: 600, Keyword number: 19
fortunately: Topic: 600, Keyword number: 20
possible: Topic: 600, Keyword number: 21
power: Topic: 600, Keyword number: 22
values: Topic: 600, Keyword number: 23
film's: Topic: 600, Keyword number: 24
arcadia_heaven: Topic: 601, Keyword number: 0
imagery: Topic: 601, Keyword number: 1
like: Topic: 604, Keyword number: 0
truman: Topic: 604, Keyword number: 1
first: Topic: 604, Keyword number: 2
last: Topic: 604, Keyword number: 3
right: Topic: 604, Keyword number: 4
park: Topic: 604, Keyword number: 5
heroes: Topic: 604, Keyword number: 6
rather: Topic: 604, Keyword number: 7
take: Topic: 604, Keyword number: 8
several: Topic: 604, Keyword number: 9
time: Topic: 604, Keyword number: 10
interesting: Topic: 604, Keyword number: 11
think: Topic: 604, Keyword number: 12
woody: Topic: 604, Keyword number: 13
kids: Topic: 604, Keyword number: 14
maybe: Topic: 604, Keyword number: 15
purpose: Topic: 604, Keyword number: 16
nothing: Topic: 604, Keyword number: 17
unlike_summer: Topic: 604, Keyword number: 18
rated: Topic: 604, Keyword number: 19
action: Topic: 604, Keyword number: 20
pay: Topic: 604, Keyword number: 21
steven: Topic: 604, Keyword number: 22
fully: Topic: 604, Keyword number: 23
many: Topic: 604, Keyword number: 24
burton's: Topic: 605, Keyword number: 0
skarsg: Topic: 605, Keyword number: 1
argento: Topic: 605, Keyword number: 2
english_language: Topic: 605, Keyword number: 3
surreal: Topic: 605, Keyword number: 4
deep: Topic: 605, Keyword number: 5
hype: Topic: 605, Keyword number: 6
likely: Topic: 605, Keyword number: 7
hell: Topic: 605, Keyword number: 8
acted_one: Topic: 605, Keyword number: 9
cold_urban: Topic: 605, Keyword number: 10
work_going: Topic: 605, Keyword number: 11
skarsg_two: Topic: 605, Keyword number: 12
lambeau_award-winning: Topic: 605, Keyword number: 13
line_real: Topic: 605, Keyword number: 14
friend_small: Topic: 605, Keyword number: 15
top_bottom: Topic: 605, Keyword number: 16
acting_overshadows: Topic: 605, Keyword number: 17
accept_character: Topic: 605, Keyword number: 18
student_hip: Topic: 605, Keyword number: 19
relationships_usually: Topic: 605, Keyword number: 20
possible_lowly: Topic: 605, Keyword number: 21
complex_narrative: Topic: 605, Keyword number: 22
ring_bell: Topic: 605, Keyword number: 23
prodigies_shine: Topic: 605, Keyword number: 24
scenes_director: Topic: 606, Keyword number: 0
angeles: Topic: 606, Keyword number: 1
two: Topic: 606, Keyword number: 2
incessant_use: Topic: 607, Keyword number: 0
voids_social: Topic: 607, Keyword number: 1
movie_german: Topic: 608, Keyword number: 0
mother_also: Topic: 608, Keyword number: 1
different_light: Topic: 608, Keyword number: 2
movie: Topic: 609, Keyword number: 0
many: Topic: 609, Keyword number: 1
also: Topic: 609, Keyword number: 2
two: Topic: 609, Keyword number: 3
best: Topic: 609, Keyword number: 4
one: Topic: 609, Keyword number: 5
star: Topic: 609, Keyword number: 6
makes: Topic: 609, Keyword number: 7
ending: Topic: 609, Keyword number: 8
believe: Topic: 609, Keyword number: 9
give: Topic: 609, Keyword number: 10
played: Topic: 609, Keyword number: 11
although: Topic: 609, Keyword number: 12
george: Topic: 609, Keyword number: 13
review: Topic: 609, Keyword number: 14
story: Topic: 609, Keyword number: 15
right: Topic: 609, Keyword number: 16
waiting: Topic: 609, Keyword number: 17
i'm: Topic: 609, Keyword number: 18
people: Topic: 609, Keyword number: 19
three: Topic: 609, Keyword number: 20
life: Topic: 609, Keyword number: 21
watch: Topic: 609, Keyword number: 22
menace: Topic: 609, Keyword number: 23
sam: Topic: 609, Keyword number: 24
roberts: Topic: 610, Keyword number: 0
hugh: Topic: 610, Keyword number: 1
michell's: Topic: 610, Keyword number: 2
thacker: Topic: 610, Keyword number: 3
cry_that's: Topic: 610, Keyword number: 4
long_music: Topic: 610, Keyword number: 5
still_fares: Topic: 610, Keyword number: 6
areas_works: Topic: 610, Keyword number: 7
enhancement: Topic: 610, Keyword number: 8
air_we're: Topic: 610, Keyword number: 9
shot_occurs: Topic: 610, Keyword number: 10
instances_film: Topic: 610, Keyword number: 11
visuals_doesn't: Topic: 610, Keyword number: 12
react_presence: Topic: 610, Keyword number: 13
folks_react: Topic: 610, Keyword number: 14
lot_compassion: Topic: 610, Keyword number: 15
unpredictable_behavior: Topic: 610, Keyword number: 16
iniquity_screen: Topic: 610, Keyword number: 17
combined_sheer: Topic: 610, Keyword number: 18
nearly_come: Topic: 610, Keyword number: 19
declares_obvious: Topic: 610, Keyword number: 20
much_anna: Topic: 610, Keyword number: 21
apricots: Topic: 610, Keyword number: 22
way_bumbles: Topic: 610, Keyword number: 23
he's_even: Topic: 610, Keyword number: 24
characters_individual: Topic: 612, Keyword number: 0
interact_annie: Topic: 612, Keyword number: 1
david: Topic: 612, Keyword number: 2
party: Topic: 613, Keyword number: 0
home: Topic: 613, Keyword number: 1
cruise: Topic: 613, Keyword number: 2
everyone: Topic: 613, Keyword number: 3
tries: Topic: 613, Keyword number: 4
blood: Topic: 613, Keyword number: 5
going: Topic: 613, Keyword number: 6
chris: Topic: 613, Keyword number: 7
lives: Topic: 613, Keyword number: 8
father: Topic: 613, Keyword number: 9
bit: Topic: 613, Keyword number: 10
tom: Topic: 613, Keyword number: 11
vampire: Topic: 613, Keyword number: 12
present: Topic: 613, Keyword number: 13
advantage: Topic: 613, Keyword number: 14
francis: Topic: 613, Keyword number: 15
atmosphere: Topic: 613, Keyword number: 16
tale: Topic: 613, Keyword number: 17
think: Topic: 613, Keyword number: 18
cynthia's: Topic: 613, Keyword number: 19
films_it's: Topic: 613, Keyword number: 20
agrees: Topic: 613, Keyword number: 21
occur: Topic: 613, Keyword number: 22
tom_cruise: Topic: 613, Keyword number: 23
throwing: Topic: 613, Keyword number: 24
star: Topic: 614, Keyword number: 0
klingon: Topic: 614, Keyword number: 1
problem: Topic: 614, Keyword number: 2
oed: Topic: 614, Keyword number: 3
throughout_movie: Topic: 614, Keyword number: 4
degree: Topic: 614, Keyword number: 5
picard: Topic: 614, Keyword number: 6
together_strangers: Topic: 614, Keyword number: 7
letting_choose: Topic: 614, Keyword number: 8
dialogue_bit: Topic: 614, Keyword number: 9
black_maestro: Topic: 614, Keyword number: 10
drugs_dancing: Topic: 614, Keyword number: 11
nomination_next: Topic: 614, Keyword number: 12
building_interstellar: Topic: 614, Keyword number: 13
vega_includes: Topic: 614, Keyword number: 14
right_character: Topic: 614, Keyword number: 15
death_wish: Topic: 614, Keyword number: 16
robocop_reminiscent: Topic: 614, Keyword number: 17
merely_computer: Topic: 614, Keyword number: 18
degree_murphy: Topic: 614, Keyword number: 19
problem_aside: Topic: 614, Keyword number: 20
robocop's_main: Topic: 614, Keyword number: 21
fiction/social_commentary: Topic: 614, Keyword number: 22
comedy_gory: Topic: 614, Keyword number: 23
apart_films: Topic: 614, Keyword number: 24
symbolized_subtle: Topic: 615, Keyword number: 0
czech_resistance: Topic: 615, Keyword number: 1
lumumba: Topic: 617, Keyword number: 0
ebouaney: Topic: 617, Keyword number: 1
entertaining_timothy: Topic: 617, Keyword number: 2
forget_similarities: Topic: 617, Keyword number: 3
perhaps_matter: Topic: 617, Keyword number: 4
time_bunch: Topic: 617, Keyword number: 5
streak_writing: Topic: 617, Keyword number: 6
odds_succeeded: Topic: 617, Keyword number: 7
savaged_david: Topic: 617, Keyword number: 8
movies_never: Topic: 617, Keyword number: 9
ebouaney's: Topic: 617, Keyword number: 10
elevate_film: Topic: 617, Keyword number: 11
actor_elevate: Topic: 617, Keyword number: 12
country_lumumba's: Topic: 617, Keyword number: 13
bantu_sayings: Topic: 617, Keyword number: 14
peck's_script: Topic: 617, Keyword number: 15
although_frequently: Topic: 617, Keyword number: 16
myriad_players: Topic: 617, Keyword number: 17
lumumba_fate: Topic: 617, Keyword number: 18
president_joseph: Topic: 617, Keyword number: 19
pacification: Topic: 617, Keyword number: 20
colonel_went: Topic: 617, Keyword number: 21
country's_resources: Topic: 617, Keyword number: 22
unrest: Topic: 617, Keyword number: 23
delhem_force: Topic: 617, Keyword number: 24
something_find: Topic: 618, Keyword number: 0
brooks_latest: Topic: 618, Keyword number: 1
find_albert: Topic: 618, Keyword number: 2
movie's_two: Topic: 618, Keyword number: 3
jay: Topic: 619, Keyword number: 0
smith's: Topic: 619, Keyword number: 1
bob: Topic: 619, Keyword number: 2
duo: Topic: 619, Keyword number: 3
dogma: Topic: 619, Keyword number: 4
dogmatic: Topic: 619, Keyword number: 5
jason: Topic: 619, Keyword number: 6
george: Topic: 619, Keyword number: 7
silent: Topic: 619, Keyword number: 8
comic_book: Topic: 619, Keyword number: 9
spats_columbo: Topic: 619, Keyword number: 10
protesters: Topic: 619, Keyword number: 11
convoluted: Topic: 619, Keyword number: 12
george_carlin: Topic: 619, Keyword number: 13
carlin: Topic: 619, Keyword number: 14
affleck: Topic: 619, Keyword number: 15
serendipity: Topic: 619, Keyword number: 16
mewes: Topic: 619, Keyword number: 17
ridiculously_crazy: Topic: 619, Keyword number: 18
wonderfully_comic: Topic: 619, Keyword number: 19
especially_preposterous: Topic: 619, Keyword number: 20
they're_drag: Topic: 619, Keyword number: 21
love_jerry: Topic: 619, Keyword number: 22
train_florida: Topic: 619, Keyword number: 23
gangland_murder: Topic: 619, Keyword number: 24
kissed: Topic: 622, Keyword number: 0
bus: Topic: 622, Keyword number: 1
daughter: Topic: 622, Keyword number: 2
always_absorbed: Topic: 622, Keyword number: 3
material_always: Topic: 622, Keyword number: 4
weightiness_material: Topic: 622, Keyword number: 5
weightiness: Topic: 622, Keyword number: 6
times_though: Topic: 622, Keyword number: 7
smart_bit: Topic: 622, Keyword number: 8
entertaining_edgy: Topic: 622, Keyword number: 9
egoyan_fine: Topic: 622, Keyword number: 10
case_kissed: Topic: 622, Keyword number: 11
boring_case: Topic: 622, Keyword number: 12
directors_including: Topic: 622, Keyword number: 13
effects_shock: Topic: 622, Keyword number: 14
recent_wave: Topic: 622, Keyword number: 15
action_canadian: Topic: 622, Keyword number: 16
wrote_american: Topic: 622, Keyword number: 17
half-right_nevertheless: Topic: 622, Keyword number: 18
half-right: Topic: 622, Keyword number: 19
father_daughter: Topic: 622, Keyword number: 20
characters_father: Topic: 622, Keyword number: 21
shot_tasteful: Topic: 622, Keyword number: 22
weren't_shot: Topic: 622, Keyword number: 23
involving_incest: Topic: 622, Keyword number: 24
moved: Topic: 623, Keyword number: 0
whitaker_alfred: Topic: 623, Keyword number: 1
bbc_contracted: Topic: 623, Keyword number: 2
adult_filmmaking: Topic: 623, Keyword number: 3
challenges: Topic: 623, Keyword number: 4
christie: Topic: 623, Keyword number: 5
pleasant: Topic: 623, Keyword number: 6
lack: Topic: 623, Keyword number: 7
done_shorter: Topic: 623, Keyword number: 8
teaches_lesson: Topic: 623, Keyword number: 9
left_learning: Topic: 623, Keyword number: 10
predictability_films: Topic: 623, Keyword number: 11
pace_win: Topic: 623, Keyword number: 12
bit_three: Topic: 623, Keyword number: 13
ensues_colored: Topic: 623, Keyword number: 14
color_want: Topic: 623, Keyword number: 15
moved_slowly: Topic: 623, Keyword number: 16
mind_blowing: Topic: 623, Keyword number: 17
brought_pulled: Topic: 623, Keyword number: 18
issues_racism: Topic: 623, Keyword number: 19
challenges_issues: Topic: 623, Keyword number: 20
display_enough: Topic: 623, Keyword number: 21
said_jeff: Topic: 623, Keyword number: 22
also_displays: Topic: 623, Keyword number: 23
parker_play: Topic: 623, Keyword number: 24
one: Topic: 625, Keyword number: 0
film: Topic: 625, Keyword number: 1
like: Topic: 625, Keyword number: 2
home: Topic: 625, Keyword number: 3
better: Topic: 625, Keyword number: 4
hanks: Topic: 625, Keyword number: 5
high: Topic: 625, Keyword number: 6
mrs: Topic: 625, Keyword number: 7
ben: Topic: 625, Keyword number: 8
battle: Topic: 625, Keyword number: 9
true: Topic: 625, Keyword number: 10
children: Topic: 625, Keyword number: 11
see: Topic: 625, Keyword number: 12
greatest: Topic: 625, Keyword number: 13
minutes: Topic: 625, Keyword number: 14
powerful: Topic: 625, Keyword number: 15
different: Topic: 625, Keyword number: 16
interesting: Topic: 625, Keyword number: 17
even: Topic: 625, Keyword number: 18
private_ryan: Topic: 625, Keyword number: 19
despite: Topic: 625, Keyword number: 20
audience: Topic: 625, Keyword number: 21
life: Topic: 625, Keyword number: 22
acting: Topic: 625, Keyword number: 23
saving_private: Topic: 625, Keyword number: 24
resourceful_breathlessly: Topic: 628, Keyword number: 0
control-freak_carter: Topic: 628, Keyword number: 1
character: Topic: 630, Keyword number: 0
action: Topic: 630, Keyword number: 1
carrey: Topic: 630, Keyword number: 2
playing: Topic: 630, Keyword number: 3
kimble: Topic: 630, Keyword number: 4
role: Topic: 630, Keyword number: 5
never: Topic: 630, Keyword number: 6
fugitive: Topic: 630, Keyword number: 7
tommy_lee: Topic: 630, Keyword number: 8
credit: Topic: 630, Keyword number: 9
effect: Topic: 630, Keyword number: 10
task: Topic: 630, Keyword number: 11
lee: Topic: 630, Keyword number: 12
reason: Topic: 630, Keyword number: 13
police: Topic: 630, Keyword number: 14
isn't: Topic: 630, Keyword number: 15
bale: Topic: 630, Keyword number: 16
square: Topic: 630, Keyword number: 17
suddenly: Topic: 630, Keyword number: 18
people: Topic: 630, Keyword number: 19
camera: Topic: 630, Keyword number: 20
years: Topic: 630, Keyword number: 21
small: Topic: 630, Keyword number: 22
killer: Topic: 630, Keyword number: 23
houston: Topic: 630, Keyword number: 24
much_generosity: Topic: 632, Keyword number: 0
sam_george: Topic: 632, Keyword number: 1
plot's: Topic: 632, Keyword number: 2
jumping_around: Topic: 633, Keyword number: 0
especially_start: Topic: 633, Keyword number: 1
ever_perfect: Topic: 633, Keyword number: 2
complexity_relationship: Topic: 633, Keyword number: 3
depressing_really: Topic: 633, Keyword number: 4
passion_see: Topic: 633, Keyword number: 5
julianna_moore: Topic: 633, Keyword number: 6
jealousy_lies: Topic: 633, Keyword number: 7
love_sarah: Topic: 633, Keyword number: 8
maurice_hand: Topic: 633, Keyword number: 9
he's_normal: Topic: 633, Keyword number: 10
piece_neil: Topic: 633, Keyword number: 11
it's_work: Topic: 633, Keyword number: 12
maurice: Topic: 633, Keyword number: 13
missing_memories: Topic: 634, Keyword number: 0
lovers_want: Topic: 634, Keyword number: 1
segment_deposited: Topic: 634, Keyword number: 2
throw_toast: Topic: 634, Keyword number: 3
enjoyable_quinn: Topic: 634, Keyword number: 4
film_manner: Topic: 634, Keyword number: 5
number_finale: Topic: 634, Keyword number: 6
performance_capacity: Topic: 634, Keyword number: 7
market_audiences: Topic: 634, Keyword number: 8
released_immediately: Topic: 634, Keyword number: 9
make_musical: Topic: 634, Keyword number: 10
brought_back: Topic: 634, Keyword number: 11
goes_without: Topic: 634, Keyword number: 12
big_smile: Topic: 634, Keyword number: 13
rocking: Topic: 634, Keyword number: 14
otherness: Topic: 634, Keyword number: 15
trend_vogue: Topic: 634, Keyword number: 16
pressing: Topic: 634, Keyword number: 17
rose: Topic: 634, Keyword number: 18
afterwards: Topic: 634, Keyword number: 19
claim: Topic: 634, Keyword number: 20
brains_department: Topic: 635, Keyword number: 0
connelly_hoping: Topic: 636, Keyword number: 0
reporter_recognizing: Topic: 636, Keyword number: 1
run: Topic: 638, Keyword number: 0
even: Topic: 638, Keyword number: 1
it's: Topic: 638, Keyword number: 2
like: Topic: 638, Keyword number: 3
comes: Topic: 638, Keyword number: 4
they're: Topic: 638, Keyword number: 5
second: Topic: 638, Keyword number: 6
films: Topic: 638, Keyword number: 7
park: Topic: 638, Keyword number: 8
i've: Topic: 638, Keyword number: 9
come: Topic: 638, Keyword number: 10
fun: Topic: 638, Keyword number: 11
original: Topic: 638, Keyword number: 12
funny: Topic: 638, Keyword number: 13
result: Topic: 638, Keyword number: 14
lord: Topic: 638, Keyword number: 15
voice: Topic: 638, Keyword number: 16
children: Topic: 638, Keyword number: 17
lot: Topic: 638, Keyword number: 18
doesn't: Topic: 638, Keyword number: 19
time: Topic: 638, Keyword number: 20
little: Topic: 638, Keyword number: 21
funnest: Topic: 638, Keyword number: 22
parodies: Topic: 638, Keyword number: 23
offer: Topic: 638, Keyword number: 24
he's_river's: Topic: 639, Keyword number: 0
think_commodus: Topic: 639, Keyword number: 1
character_brilliantly: Topic: 639, Keyword number: 2
germania_scott: Topic: 639, Keyword number: 3
revisited_weak: Topic: 639, Keyword number: 4
gladiator_teenagers: Topic: 639, Keyword number: 5
actors_joe: Topic: 639, Keyword number: 6
often_would: Topic: 639, Keyword number: 7
past_mandatory: Topic: 639, Keyword number: 8
glowing_performance: Topic: 639, Keyword number: 9
veronica_despite: Topic: 639, Keyword number: 10
livelier_relatively: Topic: 639, Keyword number: 11
roles_film: Topic: 639, Keyword number: 12
obtaining: Topic: 639, Keyword number: 13
much_film's: Topic: 639, Keyword number: 14
able_escape: Topic: 639, Keyword number: 15
breaks: Topic: 639, Keyword number: 16
killer: Topic: 639, Keyword number: 17
losing_humorous: Topic: 640, Keyword number: 0
minefield: Topic: 640, Keyword number: 1
successfully_navigate: Topic: 640, Keyword number: 2
able_successfully: Topic: 640, Keyword number: 3
able_run: Topic: 640, Keyword number: 4
see_able: Topic: 640, Keyword number: 5
sweet_funny: Topic: 640, Keyword number: 6
excel_romantic: Topic: 640, Keyword number: 7
description_life: Topic: 640, Keyword number: 8
awarded_tasks: Topic: 640, Keyword number: 9
everything_elaborate: Topic: 640, Keyword number: 10
pretends_everything: Topic: 640, Keyword number: 11
attempts_shield: Topic: 640, Keyword number: 12
guido_attempts: Topic: 640, Keyword number: 13
boy_way: Topic: 640, Keyword number: 14
shipped_concentration: Topic: 640, Keyword number: 15
jewish_guido: Topic: 640, Keyword number: 16
stepped_race: Topic: 640, Keyword number: 17
fascists_stepped: Topic: 640, Keyword number: 18
odds_win: Topic: 640, Keyword number: 19
engaged_another: Topic: 640, Keyword number: 20
romance_seems: Topic: 640, Keyword number: 21
beautiful_opens: Topic: 640, Keyword number: 22
missing_wonderful: Topic: 640, Keyword number: 23
subtitle-phobes_missing: Topic: 640, Keyword number: 24
film: Topic: 641, Keyword number: 0
one: Topic: 641, Keyword number: 1
life: Topic: 641, Keyword number: 2
war: Topic: 641, Keyword number: 3
see: Topic: 641, Keyword number: 4
men: Topic: 641, Keyword number: 5
man: Topic: 641, Keyword number: 6
nothing: Topic: 641, Keyword number: 7
make: Topic: 641, Keyword number: 8
new: Topic: 641, Keyword number: 9
real: Topic: 641, Keyword number: 10
gets: Topic: 641, Keyword number: 11
it's: Topic: 641, Keyword number: 12
tell: Topic: 641, Keyword number: 13
day: Topic: 641, Keyword number: 14
even: Topic: 641, Keyword number: 15
smith: Topic: 641, Keyword number: 16
seth: Topic: 641, Keyword number: 17
american: Topic: 641, Keyword number: 18
point: Topic: 641, Keyword number: 19
well: Topic: 641, Keyword number: 20
angels: Topic: 641, Keyword number: 21
many: Topic: 641, Keyword number: 22
time: Topic: 641, Keyword number: 23
idea: Topic: 641, Keyword number: 24
big_eden: Topic: 642, Keyword number: 0
eden: Topic: 642, Keyword number: 1
lauren: Topic: 642, Keyword number: 2
general_store: Topic: 642, Keyword number: 3
general: Topic: 642, Keyword number: 4
store: Topic: 642, Keyword number: 5
fresh_look: Topic: 642, Keyword number: 6
mention_haunting: Topic: 642, Keyword number: 7
birkenau_mention: Topic: 642, Keyword number: 8
combine_irony: Topic: 642, Keyword number: 9
time_morris: Topic: 642, Keyword number: 10
new_interviewing: Topic: 642, Keyword number: 11
holocaust_never: Topic: 642, Keyword number: 12
germany_publishing: Topic: 642, Keyword number: 13
ernst: Topic: 642, Keyword number: 14
leuchter_came: Topic: 642, Keyword number: 15
designing_gas: Topic: 642, Keyword number: 16
chairs_designing: Topic: 642, Keyword number: 17
plunged_quickly: Topic: 642, Keyword number: 18
effects_plunged: Topic: 642, Keyword number: 19
cheesy_dissuade: Topic: 642, Keyword number: 20
documentary_fast: Topic: 642, Keyword number: 21
relatively_straightforward: Topic: 642, Keyword number: 22
gives_chance: Topic: 642, Keyword number: 23
firing_thinking: Topic: 642, Keyword number: 24
star: Topic: 643, Keyword number: 0
arts_movies: Topic: 643, Keyword number: 1
joel: Topic: 643, Keyword number: 2
big_lebowski: Topic: 643, Keyword number: 3
feature: Topic: 643, Keyword number: 4
involving: Topic: 643, Keyword number: 5
vacano's_cinematography: Topic: 643, Keyword number: 6
film-making_takes: Topic: 643, Keyword number: 7
cake_gets: Topic: 643, Keyword number: 8
take_cake: Topic: 643, Keyword number: 9
singer_etc: Topic: 643, Keyword number: 10
flaws_forgivable: Topic: 643, Keyword number: 11
never_emerge: Topic: 643, Keyword number: 12
falter_couple: Topic: 643, Keyword number: 13
hungus_porn: Topic: 643, Keyword number: 14
elliott's: Topic: 643, Keyword number: 15
turturro_may: Topic: 643, Keyword number: 16
hilarious_hoot: Topic: 643, Keyword number: 17
walter's_manic: Topic: 643, Keyword number: 18
dude_sure: Topic: 643, Keyword number: 19
material_they're: Topic: 643, Keyword number: 20
deal_fun: Topic: 643, Keyword number: 21
exceedingly_loopy: Topic: 643, Keyword number: 22
ethan_produced: Topic: 643, Keyword number: 23
topple_thankfully: Topic: 643, Keyword number: 24
shouldn't_known: Topic: 644, Keyword number: 0
chapter: Topic: 645, Keyword number: 0
son: Topic: 645, Keyword number: 1
sister: Topic: 645, Keyword number: 2
felix's: Topic: 645, Keyword number: 3
adventures_felix: Topic: 645, Keyword number: 4
grandmother: Topic: 645, Keyword number: 5
trend: Topic: 645, Keyword number: 6
image: Topic: 645, Keyword number: 7
fail: Topic: 645, Keyword number: 8
fail_fail: Topic: 645, Keyword number: 9
feel-good: Topic: 645, Keyword number: 10
jane_porter: Topic: 645, Keyword number: 11
chapter_titled: Topic: 645, Keyword number: 12
man_never: Topic: 645, Keyword number: 13
cousin: Topic: 645, Keyword number: 14
disney: Topic: 645, Keyword number: 15
makes_think: Topic: 645, Keyword number: 16
forty_years: Topic: 645, Keyword number: 17
knew: Topic: 645, Keyword number: 18
hiv: Topic: 645, Keyword number: 19
learns: Topic: 645, Keyword number: 20
came: Topic: 645, Keyword number: 21
d'onofrio_full: Topic: 645, Keyword number: 22
teen_drug: Topic: 645, Keyword number: 23
notwithstanding_still: Topic: 645, Keyword number: 24
novel: Topic: 646, Keyword number: 0
machine: Topic: 646, Keyword number: 1
entire: Topic: 646, Keyword number: 2
like: Topic: 646, Keyword number: 3
playing: Topic: 646, Keyword number: 4
genre: Topic: 646, Keyword number: 5
reese: Topic: 646, Keyword number: 6
