crew: Topic: 0, Keyword number: 0
dramatically_increases: Topic: 199, Keyword number: 23
helgenberger_immensely: Topic: 199, Keyword number: 24
redefines: Topic: 200, Keyword number: 0
love_scene: Topic: 200, Keyword number: 1
relationship_evil: Topic: 200, Keyword number: 2
love_affair: Topic: 200, Keyword number: 3
mini: Topic: 200, Keyword number: 4
movie's_popularity: Topic: 200, Keyword number: 5
say_worth: Topic: 200, Keyword number: 6
toy_guy: Topic: 200, Keyword number: 7
eight_minutes: Topic: 200, Keyword number: 8
irish_gypsy: Topic: 200, Keyword number: 9
pig_farm: Topic: 200, Keyword number: 10
graham_trying: Topic: 200, Keyword number: 11
sherbedgia: Topic: 200, Keyword number: 12
route_antwerp: Topic: 200, Keyword number: 13
international_spy: Topic: 200, Keyword number: 14
redefined_means: Topic: 200, Keyword number: 15
myers_redefined: Topic: 200, Keyword number: 16
overall_mike: Topic: 200, Keyword number: 17
sick_probably: Topic: 200, Keyword number: 18
make_sick: Topic: 200, Keyword number: 19
moments_make: Topic: 200, Keyword number: 20
crazy_first: Topic: 200, Keyword number: 21
silly_crazy: Topic: 200, Keyword number: 22
every_bit: Topic: 200, Keyword number: 23
etc_movie: Topic: 200, Keyword number: 24
president: Topic: 201, Keyword number: 0
leader: Topic: 201, Keyword number: 1
old: Topic: 201, Keyword number: 2
deliverance: Topic: 201, Keyword number: 3
disaster: Topic: 201, Keyword number: 4
events: Topic: 201, Keyword number: 5
judge_dredd: Topic: 201, Keyword number: 6
aircraft: Topic: 201, Keyword number: 7
suck: Topic: 201, Keyword number: 8
means: Topic: 201, Keyword number: 9
first_glance: Topic: 201, Keyword number: 10
families: Topic: 201, Keyword number: 11
four: Topic: 201, Keyword number: 12
big_difference: Topic: 201, Keyword number: 13
saucers: Topic: 201, Keyword number: 14
elijah: Topic: 201, Keyword number: 15
everything_clean: Topic: 201, Keyword number: 16
molecules_aren't: Topic: 201, Keyword number: 17
first_released: Topic: 201, Keyword number: 18
far_say: Topic: 201, Keyword number: 19
wheeler: Topic: 201, Keyword number: 20
novel_eugene: Topic: 201, Keyword number: 21
riding: Topic: 201, Keyword number: 22
viable: Topic: 201, Keyword number: 23
coattails: Topic: 201, Keyword number: 24
carter: Topic: 202, Keyword number: 0
carter's: Topic: 202, Keyword number: 1
gangs: Topic: 202, Keyword number: 2
denzel_washington: Topic: 202, Keyword number: 3
youth_gangs: Topic: 202, Keyword number: 4
coney_island: Topic: 202, Keyword number: 5
coney: Topic: 202, Keyword number: 6
persia: Topic: 202, Keyword number: 7
carter_see: Topic: 202, Keyword number: 8
hurricane_carter: Topic: 202, Keyword number: 9
many_actors: Topic: 202, Keyword number: 10
boxing: Topic: 202, Keyword number: 11
accused: Topic: 202, Keyword number: 12
took_place: Topic: 202, Keyword number: 13
determination: Topic: 202, Keyword number: 14
many: Topic: 202, Keyword number: 15
kids: Topic: 202, Keyword number: 16
entertainment_contemporary: Topic: 202, Keyword number: 17
statesman-like: Topic: 202, Keyword number: 18
subscribed_roles: Topic: 202, Keyword number: 19
original_performance: Topic: 202, Keyword number: 20
anonymity_best: Topic: 202, Keyword number: 21
suggestive_recognisable: Topic: 202, Keyword number: 22
barry_vorzon: Topic: 202, Keyword number: 23
much_bloodshed: Topic: 202, Keyword number: 24
corleone: Topic: 204, Keyword number: 0
deeper: Topic: 204, Keyword number: 1
father: Topic: 204, Keyword number: 2
cromwell: Topic: 204, Keyword number: 3
keaton: Topic: 204, Keyword number: 4
first_two: Topic: 204, Keyword number: 5
cardinal: Topic: 204, Keyword number: 6
pointed: Topic: 204, Keyword number: 7
sir: Topic: 204, Keyword number: 8
sid: Topic: 204, Keyword number: 9
carry: Topic: 204, Keyword number: 10
yet_another: Topic: 204, Keyword number: 11
dragon: Topic: 204, Keyword number: 12
psychological: Topic: 204, Keyword number: 13
children: Topic: 204, Keyword number: 14
men: Topic: 204, Keyword number: 15
third_installment: Topic: 204, Keyword number: 16
butterworth: Topic: 204, Keyword number: 17
heft: Topic: 204, Keyword number: 18
like_father: Topic: 204, Keyword number: 19
afraid: Topic: 204, Keyword number: 20
corrupt: Topic: 204, Keyword number: 21
art_direction: Topic: 204, Keyword number: 22
gets_better: Topic: 204, Keyword number: 23
firm: Topic: 204, Keyword number: 24
jackie: Topic: 205, Keyword number: 0
chan: Topic: 205, Keyword number: 1
film: Topic: 205, Keyword number: 2
jackie_chan: Topic: 205, Keyword number: 3
west: Topic: 205, Keyword number: 4
hour: Topic: 205, Keyword number: 5
chinese: Topic: 205, Keyword number: 6
written: Topic: 205, Keyword number: 7
films: Topic: 205, Keyword number: 8
rush_hour: Topic: 205, Keyword number: 9
character: Topic: 205, Keyword number: 10
one: Topic: 205, Keyword number: 11
hong: Topic: 205, Keyword number: 12
you'll: Topic: 205, Keyword number: 13
still: Topic: 205, Keyword number: 14
seen: Topic: 205, Keyword number: 15
tucker: Topic: 205, Keyword number: 16
pei: Topic: 205, Keyword number: 17
hong_kong: Topic: 205, Keyword number: 18
daughter: Topic: 205, Keyword number: 19
rather: Topic: 205, Keyword number: 20
asian: Topic: 205, Keyword number: 21
however: Topic: 205, Keyword number: 22
east: Topic: 205, Keyword number: 23
heartbreak_kid: Topic: 205, Keyword number: 24
patlabor: Topic: 206, Keyword number: 0
labors_including: Topic: 206, Keyword number: 1
heavy_industries: Topic: 206, Keyword number: 2
mother_trapped: Topic: 206, Keyword number: 3
marry_love: Topic: 206, Keyword number: 4
prior_familiarity: Topic: 206, Keyword number: 5
sequences_notably: Topic: 206, Keyword number: 6
conceal_much: Topic: 206, Keyword number: 7
they're_among: Topic: 206, Keyword number: 8
subtitles_say: Topic: 206, Keyword number: 9
scenery_far: Topic: 206, Keyword number: 10
footsteps_deep: Topic: 206, Keyword number: 11
heard_come: Topic: 206, Keyword number: 12
sounds_either: Topic: 206, Keyword number: 13
hi-fi: Topic: 206, Keyword number: 14
movie_glorious: Topic: 206, Keyword number: 15
used_animated: Topic: 206, Keyword number: 16
far_cinematography: Topic: 206, Keyword number: 17
used_oavs: Topic: 206, Keyword number: 18
character_design: Topic: 206, Keyword number: 19
almost_phenomenally: Topic: 206, Keyword number: 20
question_applicable: Topic: 206, Keyword number: 21
replaced_new: Topic: 206, Keyword number: 22
torn_replaced: Topic: 206, Keyword number: 23
setting_make: Topic: 206, Keyword number: 24
film_without: Topic: 207, Keyword number: 0
meet_players: Topic: 207, Keyword number: 1
it's_really: Topic: 207, Keyword number: 2
jokingly: Topic: 207, Keyword number: 3
finding: Topic: 207, Keyword number: 4
film: Topic: 209, Keyword number: 0
war: Topic: 209, Keyword number: 1
witness: Topic: 209, Keyword number: 2
problem: Topic: 209, Keyword number: 3
river_kwai: Topic: 209, Keyword number: 4
kwai: Topic: 209, Keyword number: 5
bridge_river: Topic: 209, Keyword number: 6
river: Topic: 209, Keyword number: 7
colonel: Topic: 209, Keyword number: 8
shall: Topic: 209, Keyword number: 9
officer: Topic: 209, Keyword number: 10
despite: Topic: 209, Keyword number: 11
guinness: Topic: 209, Keyword number: 12
officers: Topic: 209, Keyword number: 13
shows: Topic: 209, Keyword number: 14
doesn't: Topic: 209, Keyword number: 15
think: Topic: 209, Keyword number: 16
jack: Topic: 209, Keyword number: 17
saito: Topic: 209, Keyword number: 18
david_lean's: Topic: 209, Keyword number: 19
deserve: Topic: 209, Keyword number: 20
forces: Topic: 209, Keyword number: 21
prove: Topic: 209, Keyword number: 22
still: Topic: 209, Keyword number: 23
somehow: Topic: 209, Keyword number: 24
drunken: Topic: 210, Keyword number: 0
master: Topic: 210, Keyword number: 1
jackie_chan: Topic: 210, Keyword number: 2
martial_arts: Topic: 210, Keyword number: 3
drunken_master: Topic: 210, Keyword number: 4
kung: Topic: 210, Keyword number: 5
arts: Topic: 210, Keyword number: 6
fei-hong: Topic: 210, Keyword number: 7
hong_kong: Topic: 210, Keyword number: 8
kong: Topic: 210, Keyword number: 9
seen: Topic: 210, Keyword number: 10
that's: Topic: 210, Keyword number: 11
hong: Topic: 210, Keyword number: 12
i've: Topic: 210, Keyword number: 13
suspiria: Topic: 210, Keyword number: 14
china: Topic: 210, Keyword number: 15
stunt: Topic: 210, Keyword number: 16
fight: Topic: 210, Keyword number: 17
early: Topic: 210, Keyword number: 18
wong: Topic: 210, Keyword number: 19
action: Topic: 210, Keyword number: 20
style: Topic: 210, Keyword number: 21
similar: Topic: 210, Keyword number: 22
wong_fei-hong: Topic: 210, Keyword number: 23
chinese: Topic: 210, Keyword number: 24
dunne: Topic: 211, Keyword number: 0
alchemy: Topic: 211, Keyword number: 1
mitchell: Topic: 211, Keyword number: 2
shyamalan: Topic: 211, Keyword number: 3
blue: Topic: 211, Keyword number: 4
willis: Topic: 211, Keyword number: 5
sixth_sense: Topic: 211, Keyword number: 6
price: Topic: 211, Keyword number: 7
train: Topic: 211, Keyword number: 8
book: Topic: 211, Keyword number: 9
louisa's: Topic: 211, Keyword number: 10
author: Topic: 211, Keyword number: 11
someone: Topic: 211, Keyword number: 12
fascination: Topic: 211, Keyword number: 13
unbreakable: Topic: 211, Keyword number: 14
uncomfortable: Topic: 211, Keyword number: 15
powers: Topic: 211, Keyword number: 16
red: Topic: 211, Keyword number: 17
bruce: Topic: 211, Keyword number: 18
money: Topic: 211, Keyword number: 19
simple: Topic: 211, Keyword number: 20
it's_ending: Topic: 211, Keyword number: 21
easy_one: Topic: 211, Keyword number: 22
almost_seems: Topic: 211, Keyword number: 23
clark: Topic: 211, Keyword number: 24
human_traffic: Topic: 212, Keyword number: 0
characters_dialogue: Topic: 212, Keyword number: 1
gags: Topic: 212, Keyword number: 2
night_music: Topic: 212, Keyword number: 3
powerful_musical: Topic: 212, Keyword number: 4
rave_scene: Topic: 212, Keyword number: 5
leads_tend: Topic: 212, Keyword number: 6
viewer_subconscious: Topic: 212, Keyword number: 7
subtle_use: Topic: 212, Keyword number: 8
kerrigan's_subtle: Topic: 212, Keyword number: 9
friendship_self-fulfillment: Topic: 212, Keyword number: 10
awful_life: Topic: 212, Keyword number: 11
escape_black: Topic: 212, Keyword number: 12
tired_cheating: Topic: 212, Keyword number: 13
weekends_lulu: Topic: 212, Keyword number: 14
longs_freedom: Topic: 212, Keyword number: 15
men_nina: Topic: 212, Keyword number: 16
nina_nicola: Topic: 212, Keyword number: 17
issues_afraid: Topic: 212, Keyword number: 18
black_maestro: Topic: 212, Keyword number: 19
john_simm: Topic: 212, Keyword number: 20
sex_pop: Topic: 212, Keyword number: 21
drugs_dancing: Topic: 212, Keyword number: 22
really_ought: Topic: 212, Keyword number: 23
exploring_british: Topic: 212, Keyword number: 24
cauldron: Topic: 213, Keyword number: 0
hen: Topic: 213, Keyword number: 1
wen: Topic: 213, Keyword number: 2
army: Topic: 213, Keyword number: 3
disney: Topic: 213, Keyword number: 4
eilonwy_fflewdurr: Topic: 213, Keyword number: 5
taran_eilonwy: Topic: 213, Keyword number: 6
finally: Topic: 213, Keyword number: 7
horned_king's: Topic: 213, Keyword number: 8
army_deathless: Topic: 213, Keyword number: 9
studio's: Topic: 213, Keyword number: 10
witches: Topic: 213, Keyword number: 11
disney's: Topic: 213, Keyword number: 12
animated_features: Topic: 213, Keyword number: 13
lloyd: Topic: 213, Keyword number: 14
studio: Topic: 213, Keyword number: 15
even_though: Topic: 213, Keyword number: 16
saw: Topic: 213, Keyword number: 17
find: Topic: 213, Keyword number: 18
cauldron_would: Topic: 213, Keyword number: 19
wen's: Topic: 213, Keyword number: 20
prydain: Topic: 213, Keyword number: 21
reappears: Topic: 213, Keyword number: 22
disney_animated: Topic: 213, Keyword number: 23
warrior: Topic: 213, Keyword number: 24
marlowe's: Topic: 214, Keyword number: 0
play_rozencrantz: Topic: 214, Keyword number: 1
overflows: Topic: 214, Keyword number: 2
introspective_verbal: Topic: 214, Keyword number: 3
director_i'm: Topic: 214, Keyword number: 4
comic_kevin: Topic: 215, Keyword number: 0
reduces_enemy: Topic: 215, Keyword number: 1
perfectly_executed: Topic: 215, Keyword number: 2
technical_calculated: Topic: 215, Keyword number: 3
obsessed_jobs: Topic: 215, Keyword number: 4
judge_villains: Topic: 215, Keyword number: 5
sitting_vans: Topic: 215, Keyword number: 6
lee_government: Topic: 215, Keyword number: 7
charming_witty: Topic: 215, Keyword number: 8
intern_please: Topic: 215, Keyword number: 9
farrelly's_hilarious: Topic: 215, Keyword number: 10
masterminds: Topic: 215, Keyword number: 11
points_expanded: Topic: 215, Keyword number: 12
serious_gangster: Topic: 215, Keyword number: 13
witty_entertaining: Topic: 215, Keyword number: 14
life_pulls: Topic: 215, Keyword number: 15
well_audience: Topic: 216, Keyword number: 0
high_fidelity: Topic: 217, Keyword number: 0
replacing: Topic: 217, Keyword number: 1
nose_hair: Topic: 217, Keyword number: 2
tragic: Topic: 217, Keyword number: 3
professor_stellan: Topic: 217, Keyword number: 4
skarsgard: Topic: 217, Keyword number: 5
musical_film: Topic: 217, Keyword number: 6
role_actually: Topic: 217, Keyword number: 7
direct_narration: Topic: 217, Keyword number: 8
together_clever: Topic: 217, Keyword number: 9
right_what's: Topic: 217, Keyword number: 10
somewhere_new: Topic: 217, Keyword number: 11
warm_feeling: Topic: 217, Keyword number: 12
reflects_reality: Topic: 217, Keyword number: 13
cameraman_perform: Topic: 217, Keyword number: 14
murphy_sweet-natured: Topic: 217, Keyword number: 15
comeback: Topic: 217, Keyword number: 16
pathetic_cusack: Topic: 217, Keyword number: 17
lloyd_say: Topic: 217, Keyword number: 18
rob_whose: Topic: 217, Keyword number: 19
afraid_talents: Topic: 217, Keyword number: 20
really_deserve: Topic: 217, Keyword number: 21
air_things: Topic: 217, Keyword number: 22
switched_roles: Topic: 217, Keyword number: 23
though_i'd: Topic: 217, Keyword number: 24
achieve_goal: Topic: 218, Keyword number: 0
pop_pair: Topic: 218, Keyword number: 1
eventually_able: Topic: 218, Keyword number: 2
school_complicating: Topic: 219, Keyword number: 0
innocent_pasts: Topic: 219, Keyword number: 1
combined_constant: Topic: 219, Keyword number: 2
warped_perspective: Topic: 219, Keyword number: 3
aronofsky's_striking: Topic: 219, Keyword number: 4
front_center: Topic: 219, Keyword number: 5
neurotic-looking_individual: Topic: 219, Keyword number: 6
one's_individualism: Topic: 219, Keyword number: 7
reductionism_age: Topic: 219, Keyword number: 8
day_driving: Topic: 219, Keyword number: 9
mantra-like: Topic: 219, Keyword number: 10
genius_protagonist: Topic: 219, Keyword number: 11
freely_admit: Topic: 219, Keyword number: 12
aronofsky's_darkly: Topic: 219, Keyword number: 13
soap: Topic: 219, Keyword number: 14
darkly: Topic: 219, Keyword number: 15
great_fun: Topic: 219, Keyword number: 16
philosophy: Topic: 219, Keyword number: 17
fast-paced_appealing: Topic: 220, Keyword number: 0
adaptation_little: Topic: 220, Keyword number: 1
story_promotes: Topic: 220, Keyword number: 2
inane_game: Topic: 220, Keyword number: 3
like_throwing: Topic: 220, Keyword number: 4
james_benefited: Topic: 220, Keyword number: 5
darkness_bet: Topic: 220, Keyword number: 6
ability_move: Topic: 220, Keyword number: 7
along_attempt: Topic: 220, Keyword number: 8
including_great: Topic: 220, Keyword number: 9
winter: Topic: 220, Keyword number: 10
worth-seeing: Topic: 220, Keyword number: 11
stunning_visual: Topic: 220, Keyword number: 12
referring: Topic: 220, Keyword number: 13
great_chase: Topic: 220, Keyword number: 14
two_films: Topic: 220, Keyword number: 15
big: Topic: 220, Keyword number: 16
looked_upon: Topic: 221, Keyword number: 0
societal_norm: Topic: 221, Keyword number: 1
begins_birthday: Topic: 221, Keyword number: 2
viewers_set: Topic: 221, Keyword number: 3
famous_iranian: Topic: 221, Keyword number: 4
end_might: Topic: 221, Keyword number: 5
cinematic_history: Topic: 221, Keyword number: 6
boils_greatest: Topic: 221, Keyword number: 7
funny_baldwin: Topic: 221, Keyword number: 8
lineup_new: Topic: 221, Keyword number: 9
dead_kint: Topic: 221, Keyword number: 10
rogue_cop: Topic: 221, Keyword number: 11
pieced_movie: Topic: 221, Keyword number: 12
chuckles_throughout: Topic: 221, Keyword number: 13
small_fortune: Topic: 221, Keyword number: 14
concocts: Topic: 221, Keyword number: 15
need: Topic: 221, Keyword number: 16
voices_lost: Topic: 222, Keyword number: 0
bates: Topic: 222, Keyword number: 1
everyone_must: Topic: 223, Keyword number: 0
ends_elegantly: Topic: 224, Keyword number: 0
end_besson: Topic: 224, Keyword number: 1
film_messenger: Topic: 224, Keyword number: 2
banners_proclaim: Topic: 224, Keyword number: 3
jovovich_handles: Topic: 224, Keyword number: 4
assembled_characters: Topic: 224, Keyword number: 5
audience_enter: Topic: 224, Keyword number: 6
filled_dreamy: Topic: 224, Keyword number: 7
movie_filled: Topic: 224, Keyword number: 8
english_walls: Topic: 224, Keyword number: 9
mind_god: Topic: 224, Keyword number: 10
jeanne_milla: Topic: 224, Keyword number: 11
show_saint: Topic: 224, Keyword number: 12
happiness_director/writer: Topic: 224, Keyword number: 13
perfect_launching: Topic: 224, Keyword number: 14
life_jeanne: Topic: 224, Keyword number: 15
energetic_visually: Topic: 224, Keyword number: 16
completely_obvious: Topic: 224, Keyword number: 17
signs: Topic: 224, Keyword number: 18
it's: Topic: 225, Keyword number: 0
well: Topic: 225, Keyword number: 1
also: Topic: 225, Keyword number: 2
get: Topic: 225, Keyword number: 3
movie: Topic: 225, Keyword number: 4
home: Topic: 225, Keyword number: 5
disney: Topic: 225, Keyword number: 6
takes: Topic: 225, Keyword number: 7
life: Topic: 225, Keyword number: 8
long: Topic: 225, Keyword number: 9
evil: Topic: 225, Keyword number: 10
love: Topic: 225, Keyword number: 11
back: Topic: 225, Keyword number: 12
killer: Topic: 225, Keyword number: 13
that's: Topic: 225, Keyword number: 14
like: Topic: 225, Keyword number: 15
son: Topic: 225, Keyword number: 16
three: Topic: 225, Keyword number: 17
woman: Topic: 225, Keyword number: 18
hollywood: Topic: 225, Keyword number: 19
feel: Topic: 225, Keyword number: 20
everything: Topic: 225, Keyword number: 21
keep: Topic: 225, Keyword number: 22
lot: Topic: 225, Keyword number: 23
music: Topic: 225, Keyword number: 24
cecilia_fong: Topic: 227, Keyword number: 0
aimlessly: Topic: 227, Keyword number: 1
vignettes: Topic: 227, Keyword number: 2
times_spreads: Topic: 227, Keyword number: 3
soliloquy_delivered: Topic: 227, Keyword number: 4
despite_director's: Topic: 227, Keyword number: 5
embraces_melodrama: Topic: 227, Keyword number: 6
tedious_law's: Topic: 227, Keyword number: 7
ineffective_desperate: Topic: 227, Keyword number: 8
uninvolving_ineffective: Topic: 227, Keyword number: 9
uninvolving: Topic: 227, Keyword number: 10
generates_genuine: Topic: 227, Keyword number: 11
storyline_generates: Topic: 227, Keyword number: 12
conflict_among: Topic: 227, Keyword number: 13
claims_patiently: Topic: 227, Keyword number: 14
husband_young: Topic: 227, Keyword number: 15
oppressive_rules: Topic: 227, Keyword number: 16
integrate_australian: Topic: 227, Keyword number: 17
integrate: Topic: 227, Keyword number: 18
struggle_acclimatize: Topic: 227, Keyword number: 19
puppy_tone: Topic: 227, Keyword number: 20
four_immigrants: Topic: 227, Keyword number: 21
wonderfully_amusing: Topic: 227, Keyword number: 22
spiders_dangerous: Topic: 227, Keyword number: 23
dogs_poisonous: Topic: 227, Keyword number: 24
wolves_genuine: Topic: 228, Keyword number: 0
imagination_reader: Topic: 228, Keyword number: 1
synth-heavy: Topic: 228, Keyword number: 2
enlivening_werewolves: Topic: 228, Keyword number: 3
retell_story: Topic: 228, Keyword number: 4
cuddly: Topic: 228, Keyword number: 5
sinister: Topic: 228, Keyword number: 6
mouse: Topic: 230, Keyword number: 0
think: Topic: 230, Keyword number: 1
craig: Topic: 230, Keyword number: 2
john_malkovich: Topic: 230, Keyword number: 3
house: Topic: 230, Keyword number: 4
there's: Topic: 230, Keyword number: 5
annoying: Topic: 230, Keyword number: 6
evans: Topic: 230, Keyword number: 7
debut: Topic: 230, Keyword number: 8
went: Topic: 230, Keyword number: 9
oscar_nomination: Topic: 230, Keyword number: 10
extraordinary: Topic: 230, Keyword number: 11
supporting: Topic: 230, Keyword number: 12
oscar: Topic: 230, Keyword number: 13
takes_job: Topic: 230, Keyword number: 14
parties: Topic: 230, Keyword number: 15
animation: Topic: 230, Keyword number: 16
actions: Topic: 230, Keyword number: 17
hunt: Topic: 230, Keyword number: 18
old: Topic: 230, Keyword number: 19
become: Topic: 230, Keyword number: 20
takes: Topic: 230, Keyword number: 21
bumbling: Topic: 230, Keyword number: 22
tension: Topic: 230, Keyword number: 23
election: Topic: 230, Keyword number: 24
cookie's_fortune: Topic: 231, Keyword number: 0
life_less: Topic: 231, Keyword number: 1
ordinary: Topic: 231, Keyword number: 2
altman's: Topic: 231, Keyword number: 3
good_southern: Topic: 231, Keyword number: 4
effect_perhaps: Topic: 231, Keyword number: 5
everybody_cliche: Topic: 231, Keyword number: 6
related_everybody: Topic: 231, Keyword number: 7
south_everybody: Topic: 231, Keyword number: 8
matter_enjoyed: Topic: 231, Keyword number: 9
light_kindhearted: Topic: 231, Keyword number: 10
intangible_grace: Topic: 231, Keyword number: 11
handled_intangible: Topic: 231, Keyword number: 12
movie_perfectly: Topic: 231, Keyword number: 13
laughs_enjoy: Topic: 231, Keyword number: 14
career_magnificent: Topic: 231, Keyword number: 15
insubstantial_terms: Topic: 231, Keyword number: 16
fascinating_surprisingly: Topic: 231, Keyword number: 17
eccentricities_residents: Topic: 231, Keyword number: 18
slight_picture: Topic: 231, Keyword number: 19
somewhat_disturbing: Topic: 231, Keyword number: 20
fargo_except: Topic: 231, Keyword number: 21
described_critic: Topic: 231, Keyword number: 22
making_easter: Topic: 231, Keyword number: 23
none-too-subtle_manipulations: Topic: 231, Keyword number: 24
batfans: Topic: 232, Keyword number: 0
mask: Topic: 232, Keyword number: 1
worry: Topic: 232, Keyword number: 2
nostalgic_doo-wop: Topic: 232, Keyword number: 3
grease_timeless: Topic: 232, Keyword number: 4
race_finale: Topic: 232, Keyword number: 5
including_jeff: Topic: 232, Keyword number: 6
going_return: Topic: 232, Keyword number: 7
zuko_sandy: Topic: 232, Keyword number: 8
going_situations: Topic: 232, Keyword number: 9
hook_film: Topic: 232, Keyword number: 10
would_area: Topic: 232, Keyword number: 11
dominates_story: Topic: 232, Keyword number: 12
women_without: Topic: 232, Keyword number: 13
transports_another: Topic: 232, Keyword number: 14
may_completely: Topic: 232, Keyword number: 15
visual_dramatic: Topic: 232, Keyword number: 16
terms_action: Topic: 232, Keyword number: 17
earlier_screenplay: Topic: 232, Keyword number: 18
character_psychology: Topic: 232, Keyword number: 19
desolate_world: Topic: 232, Keyword number: 20
adam_west's: Topic: 232, Keyword number: 21
suits_orange: Topic: 232, Keyword number: 22
boasts_wait: Topic: 232, Keyword number: 23
visually_batman: Topic: 232, Keyword number: 24
footage_wreck: Topic: 233, Keyword number: 0
gregson_wagner: Topic: 233, Keyword number: 1
footage: Topic: 233, Keyword number: 2
telling_story: Topic: 233, Keyword number: 3
rationalize_behaviour: Topic: 233, Keyword number: 4
potential_thanks: Topic: 233, Keyword number: 5
found_fun: Topic: 233, Keyword number: 6
akiva: Topic: 233, Keyword number: 7
nights_quite: Topic: 233, Keyword number: 8
get_shit: Topic: 233, Keyword number: 9
indignant_humbled: Topic: 233, Keyword number: 10
put_test: Topic: 233, Keyword number: 11
resubmit: Topic: 233, Keyword number: 12
dispute_mpaa: Topic: 233, Keyword number: 13
hangs_prominently: Topic: 233, Keyword number: 14
attempt_string: Topic: 233, Keyword number: 15
beloveds_carla: Topic: 233, Keyword number: 16
work_bursts: Topic: 233, Keyword number: 17
guy_indignant: Topic: 233, Keyword number: 18
amusing_film's: Topic: 233, Keyword number: 19
triad_characters: Topic: 233, Keyword number: 20
absurdly_spacious: Topic: 233, Keyword number: 21
forewarned_james: Topic: 233, Keyword number: 22
none_hours: Topic: 233, Keyword number: 23
movie_grandiose: Topic: 233, Keyword number: 24
cure: Topic: 234, Keyword number: 0
taguchi: Topic: 234, Keyword number: 1
kiyoshi_kurosawa: Topic: 234, Keyword number: 2
b-movie: Topic: 234, Keyword number: 3
real_world: Topic: 234, Keyword number: 4
internet: Topic: 234, Keyword number: 5
boyfriend_high: Topic: 234, Keyword number: 6
deeper_metaphysical: Topic: 234, Keyword number: 7
immediately_scary: Topic: 234, Keyword number: 8
screens_immediately: Topic: 234, Keyword number: 9
computer_screens: Topic: 234, Keyword number: 10
american_exploitation: Topic: 234, Keyword number: 11
horror_way: Topic: 234, Keyword number: 12
curtain_scenes: Topic: 234, Keyword number: 13
obscured_semi-lighting: Topic: 234, Keyword number: 14
dark_cold: Topic: 234, Keyword number: 15
creates_dark: Topic: 234, Keyword number: 16
hunches_assumed: Topic: 234, Keyword number: 17
character_hunches: Topic: 234, Keyword number: 18
nightmarish_kurosawa: Topic: 234, Keyword number: 19
convey_message: Topic: 234, Keyword number: 20
may_totally: Topic: 234, Keyword number: 21
somehow_kurosawa: Topic: 234, Keyword number: 22
piled_together: Topic: 234, Keyword number: 23
film_weird: Topic: 234, Keyword number: 24
trustworthiness: Topic: 235, Keyword number: 0
film_linney: Topic: 235, Keyword number: 1
startling_still: Topic: 235, Keyword number: 2
film_eschews: Topic: 235, Keyword number: 3
legitimately: Topic: 235, Keyword number: 4
scene_fluidly: Topic: 235, Keyword number: 5
climate_unveil: Topic: 235, Keyword number: 6
entrances_one: Topic: 235, Keyword number: 7
eminent: Topic: 235, Keyword number: 8
smith: Topic: 237, Keyword number: 0
movie: Topic: 237, Keyword number: 1
kevin: Topic: 237, Keyword number: 2
goes: Topic: 237, Keyword number: 3
way: Topic: 237, Keyword number: 4
mile: Topic: 237, Keyword number: 5
linda: Topic: 237, Keyword number: 6
see: Topic: 237, Keyword number: 7
brings: Topic: 237, Keyword number: 8
rickman: Topic: 237, Keyword number: 9
god: Topic: 237, Keyword number: 10
police: Topic: 237, Keyword number: 11
michael: Topic: 237, Keyword number: 12
dogma: Topic: 237, Keyword number: 13
salma: Topic: 237, Keyword number: 14
linda_fiorentino: Topic: 237, Keyword number: 15
lose: Topic: 237, Keyword number: 16
amy: Topic: 237, Keyword number: 17
night: Topic: 237, Keyword number: 18
instead: Topic: 237, Keyword number: 19
new: Topic: 237, Keyword number: 20
jason_lee: Topic: 237, Keyword number: 21
instantly: Topic: 237, Keyword number: 22
favorite: Topic: 237, Keyword number: 23
salma_hayek: Topic: 237, Keyword number: 24
james: Topic: 238, Keyword number: 0
children: Topic: 238, Keyword number: 1
characters: Topic: 238, Keyword number: 2
forced: Topic: 238, Keyword number: 3
films: Topic: 238, Keyword number: 4
ones: Topic: 238, Keyword number: 5
enough: Topic: 238, Keyword number: 6
also: Topic: 238, Keyword number: 7
point: Topic: 238, Keyword number: 8
treasure: Topic: 238, Keyword number: 9
time_around: Topic: 238, Keyword number: 10
travolta: Topic: 238, Keyword number: 11
touches: Topic: 238, Keyword number: 12
manage: Topic: 238, Keyword number: 13
every: Topic: 238, Keyword number: 14
libby: Topic: 238, Keyword number: 15
john_travolta: Topic: 238, Keyword number: 16
cameron: Topic: 238, Keyword number: 17
dirt: Topic: 238, Keyword number: 18
throughout: Topic: 238, Keyword number: 19
wife: Topic: 238, Keyword number: 20
films_like: Topic: 238, Keyword number: 21
hollywood: Topic: 238, Keyword number: 22
tension: Topic: 238, Keyword number: 23
adrian_lester: Topic: 238, Keyword number: 24
war: Topic: 239, Keyword number: 0
act: Topic: 239, Keyword number: 1
lindsay: Topic: 239, Keyword number: 2
abyss_special: Topic: 239, Keyword number: 3
russian_roulette: Topic: 239, Keyword number: 4
crew: Topic: 239, Keyword number: 5
lieutenant_coffey: Topic: 239, Keyword number: 6
duties: Topic: 239, Keyword number: 7
guilty: Topic: 239, Keyword number: 8
posing: Topic: 239, Keyword number: 9
nuclear: Topic: 239, Keyword number: 10
thriller: Topic: 239, Keyword number: 11
