film: Topic: 0, Keyword number: 0
sean: Topic: 29, Keyword number: 24
movie: Topic: 30, Keyword number: 0
even: Topic: 30, Keyword number: 1
tarzan: Topic: 30, Keyword number: 2
well: Topic: 30, Keyword number: 3
know: Topic: 30, Keyword number: 4
characters: Topic: 30, Keyword number: 5
scenes: Topic: 30, Keyword number: 6
think: Topic: 30, Keyword number: 7
end: Topic: 30, Keyword number: 8
fact: Topic: 30, Keyword number: 9
show: Topic: 30, Keyword number: 10
paul: Topic: 30, Keyword number: 11
keep: Topic: 30, Keyword number: 12
young: Topic: 30, Keyword number: 13
features: Topic: 30, Keyword number: 14
many: Topic: 30, Keyword number: 15
note: Topic: 30, Keyword number: 16
three: Topic: 30, Keyword number: 17
teacher: Topic: 30, Keyword number: 18
one: Topic: 30, Keyword number: 19
there's: Topic: 30, Keyword number: 20
kids: Topic: 30, Keyword number: 21
films: Topic: 30, Keyword number: 22
put: Topic: 30, Keyword number: 23
summer: Topic: 30, Keyword number: 24
star: Topic: 31, Keyword number: 0
trek: Topic: 31, Keyword number: 1
star_trek: Topic: 31, Keyword number: 2
movie: Topic: 31, Keyword number: 3
cast: Topic: 31, Keyword number: 4
michael: Topic: 31, Keyword number: 5
script: Topic: 31, Keyword number: 6
series: Topic: 31, Keyword number: 7
fans: Topic: 31, Keyword number: 8
best: Topic: 31, Keyword number: 9
upon: Topic: 31, Keyword number: 10
next: Topic: 31, Keyword number: 11
years: Topic: 31, Keyword number: 12
well: Topic: 31, Keyword number: 13
comedy: Topic: 31, Keyword number: 14
simple: Topic: 31, Keyword number: 15
job: Topic: 31, Keyword number: 16
clever: Topic: 31, Keyword number: 17
effects: Topic: 31, Keyword number: 18
characters: Topic: 31, Keyword number: 19
production: Topic: 31, Keyword number: 20
based: Topic: 31, Keyword number: 21
act: Topic: 31, Keyword number: 22
killer: Topic: 31, Keyword number: 23
halloween: Topic: 31, Keyword number: 24
film: Topic: 32, Keyword number: 0
one: Topic: 32, Keyword number: 1
good: Topic: 32, Keyword number: 2
also: Topic: 32, Keyword number: 3
get: Topic: 32, Keyword number: 4
movie: Topic: 32, Keyword number: 5
character: Topic: 32, Keyword number: 6
like: Topic: 32, Keyword number: 7
even: Topic: 32, Keyword number: 8
much: Topic: 32, Keyword number: 9
see: Topic: 32, Keyword number: 10
time: Topic: 32, Keyword number: 11
bad: Topic: 32, Keyword number: 12
another: Topic: 32, Keyword number: 13
would: Topic: 32, Keyword number: 14
plot: Topic: 32, Keyword number: 15
way: Topic: 32, Keyword number: 16
characters: Topic: 32, Keyword number: 17
enough: Topic: 32, Keyword number: 18
makes: Topic: 32, Keyword number: 19
long: Topic: 32, Keyword number: 20
around: Topic: 32, Keyword number: 21
course: Topic: 32, Keyword number: 22
movies: Topic: 32, Keyword number: 23
pretty: Topic: 32, Keyword number: 24
movie: Topic: 33, Keyword number: 0
titanic: Topic: 33, Keyword number: 1
story: Topic: 33, Keyword number: 2
jack: Topic: 33, Keyword number: 3
ship: Topic: 33, Keyword number: 4
effects: Topic: 33, Keyword number: 5
film: Topic: 33, Keyword number: 6
vampire: Topic: 33, Keyword number: 7
love: Topic: 33, Keyword number: 8
bad: Topic: 33, Keyword number: 9
blade: Topic: 33, Keyword number: 10
although: Topic: 33, Keyword number: 11
get: Topic: 33, Keyword number: 12
rose: Topic: 33, Keyword number: 13
well: Topic: 33, Keyword number: 14
would: Topic: 33, Keyword number: 15
classic: Topic: 33, Keyword number: 16
james: Topic: 33, Keyword number: 17
batman: Topic: 33, Keyword number: 18
played: Topic: 33, Keyword number: 19
half: Topic: 33, Keyword number: 20
think: Topic: 33, Keyword number: 21
vampires: Topic: 33, Keyword number: 22
named: Topic: 33, Keyword number: 23
movies: Topic: 33, Keyword number: 24
one: Topic: 34, Keyword number: 0
life: Topic: 34, Keyword number: 1
job: Topic: 34, Keyword number: 2
doesn't: Topic: 34, Keyword number: 3
love: Topic: 34, Keyword number: 4
town: Topic: 34, Keyword number: 5
he's: Topic: 34, Keyword number: 6
lives: Topic: 34, Keyword number: 7
film: Topic: 34, Keyword number: 8
men: Topic: 34, Keyword number: 9
two: Topic: 34, Keyword number: 10
never: Topic: 34, Keyword number: 11
man: Topic: 34, Keyword number: 12
three: Topic: 34, Keyword number: 13
small: Topic: 34, Keyword number: 14
wants: Topic: 34, Keyword number: 15
role: Topic: 34, Keyword number: 16
romantic: Topic: 34, Keyword number: 17
wonderful: Topic: 34, Keyword number: 18
good: Topic: 34, Keyword number: 19
see: Topic: 34, Keyword number: 20
actors: Topic: 34, Keyword number: 21
may: Topic: 34, Keyword number: 22
everyone: Topic: 34, Keyword number: 23
instead: Topic: 34, Keyword number: 24
new: Topic: 35, Keyword number: 0
war: Topic: 35, Keyword number: 1
you're: Topic: 35, Keyword number: 2
father: Topic: 35, Keyword number: 3
script: Topic: 35, Keyword number: 4
humor: Topic: 35, Keyword number: 5
get: Topic: 35, Keyword number: 6
able: Topic: 35, Keyword number: 7
dog: Topic: 35, Keyword number: 8
red: Topic: 35, Keyword number: 9
human: Topic: 35, Keyword number: 10
ryan: Topic: 35, Keyword number: 11
like: Topic: 35, Keyword number: 12
saving: Topic: 35, Keyword number: 13
work: Topic: 35, Keyword number: 14
disney's: Topic: 35, Keyword number: 15
line: Topic: 35, Keyword number: 16
violence: Topic: 35, Keyword number: 17
wedding: Topic: 35, Keyword number: 18
hard: Topic: 35, Keyword number: 19
one: Topic: 35, Keyword number: 20
good: Topic: 35, Keyword number: 21
adventure: Topic: 35, Keyword number: 22
make: Topic: 35, Keyword number: 23
latest: Topic: 35, Keyword number: 24
star: Topic: 36, Keyword number: 0
wars: Topic: 36, Keyword number: 1
star_wars: Topic: 36, Keyword number: 2
film: Topic: 36, Keyword number: 3
effects: Topic: 36, Keyword number: 4
special: Topic: 36, Keyword number: 5
lucas: Topic: 36, Keyword number: 6
special_effects: Topic: 36, Keyword number: 7
phantom: Topic: 36, Keyword number: 8
young: Topic: 36, Keyword number: 9
menace: Topic: 36, Keyword number: 10
new: Topic: 36, Keyword number: 11
films: Topic: 36, Keyword number: 12
phantom_menace: Topic: 36, Keyword number: 13
even: Topic: 36, Keyword number: 14
years: Topic: 36, Keyword number: 15
time: Topic: 36, Keyword number: 16
queen: Topic: 36, Keyword number: 17
characters: Topic: 36, Keyword number: 18
set: Topic: 36, Keyword number: 19
jar: Topic: 36, Keyword number: 20
original: Topic: 36, Keyword number: 21
never: Topic: 36, Keyword number: 22
blair: Topic: 36, Keyword number: 23
planet: Topic: 36, Keyword number: 24
one: Topic: 37, Keyword number: 0
american: Topic: 37, Keyword number: 1
get: Topic: 37, Keyword number: 2
even: Topic: 37, Keyword number: 3
make: Topic: 37, Keyword number: 4
must: Topic: 37, Keyword number: 5
life: Topic: 37, Keyword number: 6
human: Topic: 37, Keyword number: 7
shows: Topic: 37, Keyword number: 8
much: Topic: 37, Keyword number: 9
world: Topic: 37, Keyword number: 10
chris: Topic: 37, Keyword number: 11
takes: Topic: 37, Keyword number: 12
characters: Topic: 37, Keyword number: 13
boy: Topic: 37, Keyword number: 14
spielberg: Topic: 37, Keyword number: 15
perfect: Topic: 37, Keyword number: 16
real: Topic: 37, Keyword number: 17
mother: Topic: 37, Keyword number: 18
finally: Topic: 37, Keyword number: 19
first: Topic: 37, Keyword number: 20
little: Topic: 37, Keyword number: 21
two: Topic: 37, Keyword number: 22
michael: Topic: 37, Keyword number: 23
court: Topic: 37, Keyword number: 24
film: Topic: 38, Keyword number: 0
first: Topic: 38, Keyword number: 1
trying: Topic: 38, Keyword number: 2
back: Topic: 38, Keyword number: 3
making: Topic: 38, Keyword number: 4
two: Topic: 38, Keyword number: 5
end: Topic: 38, Keyword number: 6
black: Topic: 38, Keyword number: 7
gives: Topic: 38, Keyword number: 8
girl: Topic: 38, Keyword number: 9
time: Topic: 38, Keyword number: 10
rather: Topic: 38, Keyword number: 11
kind: Topic: 38, Keyword number: 12
many: Topic: 38, Keyword number: 13
wonderful: Topic: 38, Keyword number: 14
experience: Topic: 38, Keyword number: 15
rich: Topic: 38, Keyword number: 16
beautiful: Topic: 38, Keyword number: 17
uses: Topic: 38, Keyword number: 18
would: Topic: 38, Keyword number: 19
men: Topic: 38, Keyword number: 20
perfect: Topic: 38, Keyword number: 21
doesn't: Topic: 38, Keyword number: 22
able: Topic: 38, Keyword number: 23
whose: Topic: 38, Keyword number: 24
city: Topic: 39, Keyword number: 0
science: Topic: 39, Keyword number: 1
seems: Topic: 39, Keyword number: 2
new: Topic: 39, Keyword number: 3
life: Topic: 39, Keyword number: 4
story: Topic: 39, Keyword number: 5
joe: Topic: 39, Keyword number: 6
come: Topic: 39, Keyword number: 7
world: Topic: 39, Keyword number: 8
novel: Topic: 39, Keyword number: 9
art: Topic: 39, Keyword number: 10
years: Topic: 39, Keyword number: 11
death: Topic: 39, Keyword number: 12
may: Topic: 39, Keyword number: 13
john: Topic: 39, Keyword number: 14
image: Topic: 39, Keyword number: 15
much: Topic: 39, Keyword number: 16
matrix: Topic: 39, Keyword number: 17
child: Topic: 39, Keyword number: 18
new_york: Topic: 39, Keyword number: 19
dreams: Topic: 39, Keyword number: 20
like: Topic: 39, Keyword number: 21
common: Topic: 39, Keyword number: 22
stories: Topic: 39, Keyword number: 23
used: Topic: 39, Keyword number: 24
truman: Topic: 40, Keyword number: 0
death: Topic: 40, Keyword number: 1
people: Topic: 40, Keyword number: 2
final: Topic: 40, Keyword number: 3
life: Topic: 40, Keyword number: 4
carrey: Topic: 40, Keyword number: 5
truman_show: Topic: 40, Keyword number: 6
jim: Topic: 40, Keyword number: 7
plane: Topic: 40, Keyword number: 8
character: Topic: 40, Keyword number: 9
sense: Topic: 40, Keyword number: 10
almost: Topic: 40, Keyword number: 11
right: Topic: 40, Keyword number: 12
destination: Topic: 40, Keyword number: 13
alex: Topic: 40, Keyword number: 14
premise: Topic: 40, Keyword number: 15
child: Topic: 40, Keyword number: 16
like: Topic: 40, Keyword number: 17
truman's: Topic: 40, Keyword number: 18
characters: Topic: 40, Keyword number: 19
drama: Topic: 40, Keyword number: 20
leila: Topic: 40, Keyword number: 21
final_destination: Topic: 40, Keyword number: 22
amistad: Topic: 40, Keyword number: 23
father: Topic: 40, Keyword number: 24
it's: Topic: 41, Keyword number: 0
like: Topic: 41, Keyword number: 1
film: Topic: 41, Keyword number: 2
really: Topic: 41, Keyword number: 3
good: Topic: 41, Keyword number: 4
he's: Topic: 41, Keyword number: 5
well: Topic: 41, Keyword number: 6
little: Topic: 41, Keyword number: 7
they're: Topic: 41, Keyword number: 8
pretty: Topic: 41, Keyword number: 9
one: Topic: 41, Keyword number: 10
love: Topic: 41, Keyword number: 11
i'm: Topic: 41, Keyword number: 12
still: Topic: 41, Keyword number: 13
never: Topic: 41, Keyword number: 14
scene: Topic: 41, Keyword number: 15
even: Topic: 41, Keyword number: 16
something: Topic: 41, Keyword number: 17
two: Topic: 41, Keyword number: 18
sure: Topic: 41, Keyword number: 19
great: Topic: 41, Keyword number: 20
know: Topic: 41, Keyword number: 21
together: Topic: 41, Keyword number: 22
get: Topic: 41, Keyword number: 23
i've: Topic: 41, Keyword number: 24
scream: Topic: 42, Keyword number: 0
it's: Topic: 42, Keyword number: 1
movies: Topic: 42, Keyword number: 2
jackie: Topic: 42, Keyword number: 3
films: Topic: 42, Keyword number: 4
movie: Topic: 42, Keyword number: 5
like: Topic: 42, Keyword number: 6
master: Topic: 42, Keyword number: 7
jackie_chan: Topic: 42, Keyword number: 8
troopers: Topic: 42, Keyword number: 9
plot: Topic: 42, Keyword number: 10
martial: Topic: 42, Keyword number: 11
starship: Topic: 42, Keyword number: 12
starship_troopers: Topic: 42, Keyword number: 13
that's: Topic: 42, Keyword number: 14
watch: Topic: 42, Keyword number: 15
martial_arts: Topic: 42, Keyword number: 16
seen: Topic: 42, Keyword number: 17
arts: Topic: 42, Keyword number: 18
drunken: Topic: 42, Keyword number: 19
horror: Topic: 42, Keyword number: 20
time: Topic: 42, Keyword number: 21
i've: Topic: 42, Keyword number: 22
become: Topic: 42, Keyword number: 23
action: Topic: 42, Keyword number: 24
would: Topic: 43, Keyword number: 0
think: Topic: 43, Keyword number: 1
father: Topic: 43, Keyword number: 2
time: Topic: 43, Keyword number: 3
people: Topic: 43, Keyword number: 4
black: Topic: 43, Keyword number: 5
even: Topic: 43, Keyword number: 6
one: Topic: 43, Keyword number: 7
make: Topic: 43, Keyword number: 8
cauldron: Topic: 43, Keyword number: 9
mother: Topic: 43, Keyword number: 10
america: Topic: 43, Keyword number: 11
much: Topic: 43, Keyword number: 12
give: Topic: 43, Keyword number: 13
home: Topic: 43, Keyword number: 14
night: Topic: 43, Keyword number: 15
instead: Topic: 43, Keyword number: 16
back: Topic: 43, Keyword number: 17
king: Topic: 43, Keyword number: 18
though: Topic: 43, Keyword number: 19
say: Topic: 43, Keyword number: 20
future: Topic: 43, Keyword number: 21
friends: Topic: 43, Keyword number: 22
john: Topic: 43, Keyword number: 23
black_cauldron: Topic: 43, Keyword number: 24
film: Topic: 44, Keyword number: 0
men: Topic: 44, Keyword number: 1
man: Topic: 44, Keyword number: 2
story: Topic: 44, Keyword number: 3
always: Topic: 44, Keyword number: 4
town: Topic: 44, Keyword number: 5
wife: Topic: 44, Keyword number: 6
children: Topic: 44, Keyword number: 7
character: Topic: 44, Keyword number: 8
lost: Topic: 44, Keyword number: 9
it's: Topic: 44, Keyword number: 10
based: Topic: 44, Keyword number: 11
young: Topic: 44, Keyword number: 12
also: Topic: 44, Keyword number: 13
feels: Topic: 44, Keyword number: 14
small: Topic: 44, Keyword number: 15
daughter: Topic: 44, Keyword number: 16
believe: Topic: 44, Keyword number: 17
play: Topic: 44, Keyword number: 18
another: Topic: 44, Keyword number: 19
christmas: Topic: 44, Keyword number: 20
done: Topic: 44, Keyword number: 21
marriage: Topic: 44, Keyword number: 22
crew: Topic: 44, Keyword number: 23
tale: Topic: 44, Keyword number: 24
film: Topic: 45, Keyword number: 0
movie: Topic: 45, Keyword number: 1
also: Topic: 45, Keyword number: 2
john: Topic: 45, Keyword number: 3
well: Topic: 45, Keyword number: 4
chan: Topic: 45, Keyword number: 5
action: Topic: 45, Keyword number: 6
new: Topic: 45, Keyword number: 7
like: Topic: 45, Keyword number: 8
cameron: Topic: 45, Keyword number: 9
one: Topic: 45, Keyword number: 10
could: Topic: 45, Keyword number: 11
big: Topic: 45, Keyword number: 12
original: Topic: 45, Keyword number: 13
another: Topic: 45, Keyword number: 14
enough: Topic: 45, Keyword number: 15
movies: Topic: 45, Keyword number: 16
many: Topic: 45, Keyword number: 17
every: Topic: 45, Keyword number: 18
end: Topic: 45, Keyword number: 19
video: Topic: 45, Keyword number: 20
two: Topic: 45, Keyword number: 21
van: Topic: 45, Keyword number: 22
watching: Topic: 45, Keyword number: 23
best: Topic: 45, Keyword number: 24
film: Topic: 46, Keyword number: 0
one: Topic: 46, Keyword number: 1
music: Topic: 46, Keyword number: 2
although: Topic: 46, Keyword number: 3
characters: Topic: 46, Keyword number: 4
however: Topic: 46, Keyword number: 5
actors: Topic: 46, Keyword number: 6
quite: Topic: 46, Keyword number: 7
enough: Topic: 46, Keyword number: 8
acting: Topic: 46, Keyword number: 9
director: Topic: 46, Keyword number: 10
well: Topic: 46, Keyword number: 11
two: Topic: 46, Keyword number: 12
best: Topic: 46, Keyword number: 13
love: Topic: 46, Keyword number: 14
provides: Topic: 46, Keyword number: 15
together: Topic: 46, Keyword number: 16
scene: Topic: 46, Keyword number: 17
man: Topic: 46, Keyword number: 18
cast: Topic: 46, Keyword number: 19
perhaps: Topic: 46, Keyword number: 20
done: Topic: 46, Keyword number: 21
work: Topic: 46, Keyword number: 22
around: Topic: 46, Keyword number: 23
would: Topic: 46, Keyword number: 24
tilocblob: Topic: 47, Keyword number: 0
tilocblob_tilocblob: Topic: 47, Keyword number: 1
roberts: Topic: 47, Keyword number: 2
run: Topic: 47, Keyword number: 3
bus: Topic: 47, Keyword number: 4
assigned: Topic: 47, Keyword number: 5
sweet: Topic: 47, Keyword number: 6
sweet_hereafter: Topic: 47, Keyword number: 7
egoyan: Topic: 47, Keyword number: 8
julia: Topic: 47, Keyword number: 9
julia_roberts: Topic: 47, Keyword number: 10
stephens: Topic: 47, Keyword number: 11
rocky: Topic: 47, Keyword number: 12
chickens: Topic: 47, Keyword number: 13
notting: Topic: 47, Keyword number: 14
atom: Topic: 47, Keyword number: 15
virtual_reality: Topic: 47, Keyword number: 16
park: Topic: 47, Keyword number: 17
central: Topic: 47, Keyword number: 18
team: Topic: 47, Keyword number: 19
words_assigned: Topic: 47, Keyword number: 20
words_got: Topic: 47, Keyword number: 21
polley: Topic: 47, Keyword number: 22
lost: Topic: 47, Keyword number: 23
holm: Topic: 47, Keyword number: 24
shrek: Topic: 48, Keyword number: 0
beauty: Topic: 48, Keyword number: 1
school: Topic: 48, Keyword number: 2
character: Topic: 48, Keyword number: 3
time: Topic: 48, Keyword number: 4
comedy: Topic: 48, Keyword number: 5
american: Topic: 48, Keyword number: 6
girl: Topic: 48, Keyword number: 7
friend: Topic: 48, Keyword number: 8
years: Topic: 48, Keyword number: 9
one: Topic: 48, Keyword number: 10
relationship: Topic: 48, Keyword number: 11
couple: Topic: 48, Keyword number: 12
good: Topic: 48, Keyword number: 13
duke: Topic: 48, Keyword number: 14
fiona: Topic: 48, Keyword number: 15
grace: Topic: 48, Keyword number: 16
tale: Topic: 48, Keyword number: 17
high_school: Topic: 48, Keyword number: 18
classic: Topic: 48, Keyword number: 19
donkey: Topic: 48, Keyword number: 20
fate: Topic: 48, Keyword number: 21
business: Topic: 48, Keyword number: 22
british: Topic: 48, Keyword number: 23
living: Topic: 48, Keyword number: 24
movie: Topic: 49, Keyword number: 0
he's: Topic: 49, Keyword number: 1
black: Topic: 49, Keyword number: 2
action: Topic: 49, Keyword number: 3
bond: Topic: 49, Keyword number: 4
like: Topic: 49, Keyword number: 5
plays: Topic: 49, Keyword number: 6
charles: Topic: 49, Keyword number: 7
story: Topic: 49, Keyword number: 8
picture: Topic: 49, Keyword number: 9
white: Topic: 49, Keyword number: 10
it's: Topic: 49, Keyword number: 11
derek: Topic: 49, Keyword number: 12
history: Topic: 49, Keyword number: 13
james: Topic: 49, Keyword number: 14
although: Topic: 49, Keyword number: 15
men: Topic: 49, Keyword number: 16
top: Topic: 49, Keyword number: 17
bowfinger: Topic: 49, Keyword number: 18
norton: Topic: 49, Keyword number: 19
brother: Topic: 49, Keyword number: 20
time: Topic: 49, Keyword number: 21
car: Topic: 49, Keyword number: 22
one: Topic: 49, Keyword number: 23
men_black: Topic: 49, Keyword number: 24
